crime_type,date,observed_rate,global_rate,city_fitted_rate
murder,2017-01-01,20.49880423641954,3.171209515728732,2.9666262839332136
murder,2017-02-01,0,2.880609077742155,2.688203337459011
murder,2017-03-01,0,2.8359813564192327,2.6394314817461524
murder,2017-04-01,20.49880423641954,3.0416567368716803,2.852798672229287
murder,2017-05-01,0,3.27972090728133,3.108052005607602
murder,2017-06-01,0,3.3781217572576634,3.193609704578149
murder,2017-07-01,0,3.365793537067428,3.150597831932719
murder,2017-08-01,0,3.2471427000209245,3.043026843167201
murder,2017-09-01,20.49880423641954,3.0244801982882676,2.868263444351268
murder,2017-10-01,20.49880423641954,2.8426827466420295,2.7121953835904806
murder,2017-11-01,0,2.8040055612043253,2.667384853936712
murder,2017-12-01,0,2.7777867098314304,2.6393280007706452
murder,2018-01-01,0,2.591103142187956,2.4655808082302673
murder,2018-02-01,0,2.3715685756191833,2.2485593111863293
murder,2018-03-01,0,2.3532645985763994,2.222510220962293
murder,2018-04-01,0,2.548883901100547,2.4222584760550476
murder,2018-05-01,0,2.7778070174240885,2.6628841364937337
murder,2018-06-01,20.49880423641954,2.896189800086834,2.764522163108445
murder,2018-07-01,0,2.9231148394910798,2.7572516353039553
murder,2018-08-01,0,2.861280211448339,2.696011353410855
murder,2018-09-01,0,2.707233553089729,2.5751565603061746
murder,2018-10-01,0,2.5863670154132006,2.4688996858285432
murder,2018-11-01,0,2.5975904833390584,2.465443711902035
murder,2018-12-01,20.49880423641954,2.621450452482281,2.4780848150218038
murder,2019-01-01,0,2.494848024535443,2.3545919188670807
murder,2019-02-01,20.49880423641954,2.3313250370378142,2.1853160583966487
murder,2019-03-01,0,2.357921563977831,2.19509648550839
murder,2019-04-01,0,2.6088889378306974,2.4357058085876813
murder,2019-05-01,0,2.902148166217336,2.724290309686365
murder,2019-06-01,0,3.089617735696452,2.8782130001320905
murder,2019-07-01,0,3.180104354712437,2.9181163645179105
murder,2019-08-01,0,3.1738626565197654,2.8998176313046287
murder,2019-09-01,0,3.0584224371806266,2.8121153548221156
murder,2019-10-01,0,2.970143563016942,2.7326635437351503
murder,2019-11-01,0,3.0290642969144757,2.7631016530832953
murder,2019-12-01,0,3.097040883190683,2.806566530753762
murder,2020-01-01,0,2.981897189088351,2.6912732268243063
murder,2020-02-01,0,2.8136381203113836,2.5165241529725875
murder,2020-03-01,0,2.867797378906088,2.5422775369113424
murder,2020-04-01,0,3.1923644800934845,2.8328714780467776
murder,2020-05-01,0,3.565661325072327,3.1763192288416167
murder,2020-06-01,0,3.8048044475336837,3.3586882191093155
murder,2020-07-01,0,3.9179105968062027,3.4025803816030393
murder,2020-08-01,0,3.904610222069022,3.3728403960965623
murder,2020-09-01,20.49880423641954,3.7500299248941937,3.2571463250229247
murder,2020-10-01,0,3.6234327961491632,3.1471918719636216
murder,2020-11-01,0,3.6693048580513152,3.1584301393041754
murder,2020-12-01,0,3.720081680242672,3.1803316479081656
murder,2021-01-01,0,3.5454569515768024,3.0185525637899095
murder,2021-02-01,0,3.3072704714399457,2.7907001968337837
murder,2021-03-01,0,3.3312044725108083,2.7871826169033427
murder,2021-04-01,20.49880423641954,3.6593172951958928,3.0661728925586056
murder,2021-05-01,0,4.032567291623562,3.3939156615162305
murder,2021-06-01,20.49880423641954,4.24177826484364,3.5403683153259458
murder,2021-07-01,0,4.306782046181756,3.5395514272589725
murder,2021-08-01,0,4.230097443221498,3.4614739733584816
murder,2021-09-01,0,4.004693943083575,3.298934936998508
murder,2021-10-01,0,3.8175887682214835,3.1487587561734647
murder,2021-11-01,0,3.81455276398149,3.1224366926474207
murder,2021-12-01,0,3.819870407588878,3.110113162509492
murder,2022-01-01,0,3.5966033298618836,2.921087570456456
murder,2022-02-01,0,3.316539822621219,2.674386728420291
murder,2022-03-01,0,3.307723850709402,2.649288229844807
murder,2022-04-01,0,3.5961598590057737,2.890284765568146
murder,2022-05-01,0,3.925855915031641,3.1757747489129264
murder,2022-06-01,20.49880423641954,4.0920877498143025,3.2901307350885527
murder,2022-07-01,0,4.120783058037924,3.2698883662252713
murder,2022-08-01,0,4.015639716820332,3.18051673446343
murder,2022-09-01,0,3.7741765839720838,3.0170702118896053
murder,2022-10-01,0,3.5747613863727006,2.8687691041653403
murder,2022-11-01,0,3.5502567524341813,2.8355336038308785
murder,2022-12-01,0,3.5361199228316678,2.8171656080733776
murder,2023-01-01,0,3.312537114965958,2.640520942836038
murder,2023-02-01,0,3.040404568813181,2.413847967710221
murder,2023-03-01,0,3.0205998214435534,2.3889075377851237
murder,2023-04-01,0,3.2710010902039395,2.6045250031123004
murder,2023-05-01,0,3.5582006889412123,2.8610224815581127
murder,2023-06-01,0,3.696140587180321,2.9641759757978416
murder,2023-07-01,0,3.7103980129157756,2.946834252142852
murder,2023-08-01,0,3.604550187188284,2.8678163954716753
murder,2023-09-01,0,3.3776773052748137,2.7223443941370804
murder,2023-10-01,0,3.1901404554724166,2.5905900504309898
murder,2023-11-01,0,3.1591540133384215,2.5629726536775674
