month,city_id,city_label,crime_type,global_season_centered,city_season_centered,city_season_se
1,AL0011200,"Hoover, AL",assault,-0.1251974789137118,-0.12450481770693198,0.04354004150489024
2,AL0011200,"Hoover, AL",assault,-0.1430663066469726,-0.15431529251115286,0.04357155304621887
3,AL0011200,"Hoover, AL",assault,-0.07954593991891012,-0.08781605346110406,0.043546274302867304
4,AL0011200,"Hoover, AL",assault,0.02362118833016428,0.031167460225149882,0.04355352957811492
5,AL0011200,"Hoover, AL",assault,0.08416432459799554,0.08895358595570986,0.04354627430286731
6,AL0011200,"Hoover, AL",assault,0.09388595638774198,0.08737110329923396,0.04357155304621887
7,AL0011200,"Hoover, AL",assault,0.0980484056274543,0.10652919970471304,0.043540041504890235
8,AL0011200,"Hoover, AL",assault,0.09744862594342074,0.1305614862574336,0.04357155304621887
9,AL0011200,"Hoover, AL",assault,0.06107733250161581,0.08203786520960381,0.04354627430286731
10,AL0011200,"Hoover, AL",assault,0.0035278849560932434,-0.013191842222930919,0.04355352957811492
11,AL0011200,"Hoover, AL",assault,-0.03854664389444375,-0.0651997797019907,0.043546274302867304
12,AL0011200,"Hoover, AL",assault,-0.07541734897044762,-0.08159291504773367,0.04357155304621887
1,AR0040100,"Bentonville, AR",assault,-0.1251974789137118,-0.10582826459708239,0.041101627292616565
2,AR0040100,"Bentonville, AR",assault,-0.1430663066469726,-0.13708775210726154,0.04116238571245365
3,AR0040100,"Bentonville, AR",assault,-0.07954593991891012,-0.09188567579528821,0.04110711542501383
4,AR0040100,"Bentonville, AR",assault,0.02362118833016428,0.007995517495012983,0.04115948515431369
5,AR0040100,"Bentonville, AR",assault,0.08416432459799554,0.06759882256214962,0.041107115425013836
6,AR0040100,"Bentonville, AR",assault,0.09388595638774198,0.0690258742559241,0.04116238571245365
7,AR0040100,"Bentonville, AR",assault,0.0980484056274543,0.07849469976222442,0.041101627292616565
8,AR0040100,"Bentonville, AR",assault,0.09744862594342074,0.10540062173014576,0.04116238571245365
9,AR0040100,"Bentonville, AR",assault,0.06107733250161581,0.08753211025303043,0.041107115425013836
10,AR0040100,"Bentonville, AR",assault,0.0035278849560932434,0.01933804733984501,0.04115948515431369
11,AR0040100,"Bentonville, AR",assault,-0.03854664389444375,-0.03591169218503389,0.04110711542501383
12,AR0040100,"Bentonville, AR",assault,-0.07541734897044762,-0.0646723087136663,0.04116238571245365
1,AR0230100,"Conway, AR",assault,-0.1251974789137118,-0.08741456100033809,0.03752933229778074
2,AR0230100,"Conway, AR",assault,-0.1430663066469726,-0.12670821766434903,0.03753917912282316
3,AR0230100,"Conway, AR",assault,-0.07954593991891012,-0.07684843906299935,0.0375524706802911
4,AR0230100,"Conway, AR",assault,0.02362118833016428,0.060478274565775016,0.037525697439031905
5,AR0230100,"Conway, AR",assault,0.08416432459799554,0.1325942339607885,0.0375524706802911
6,AR0230100,"Conway, AR",assault,0.09388595638774198,0.08556362524375552,0.03753917912282316
7,AR0230100,"Conway, AR",assault,0.0980484056274543,0.041672948021506895,0.037529332297780736
8,AR0230100,"Conway, AR",assault,0.09744862594342074,0.06403766696832358,0.03753917912282316
9,AR0230100,"Conway, AR",assault,0.06107733250161581,0.059919501345805135,0.0375524706802911
10,AR0230100,"Conway, AR",assault,0.0035278849560932434,-0.014736661586943773,0.037525697439031905
11,AR0230100,"Conway, AR",assault,-0.03854664389444375,-0.06992368326476309,0.0375524706802911
12,AR0230100,"Conway, AR",assault,-0.07541734897044762,-0.06863468752656134,0.03753917912282316
1,AR0600200,"Little Rock, AR",assault,-0.1251974789137118,-0.11250241698334881,0.03160381656596064
2,AR0600200,"Little Rock, AR",assault,-0.1430663066469726,-0.15664477739459606,0.031652917020437356
3,AR0600200,"Little Rock, AR",assault,-0.07954593991891012,-0.09427407073668795,0.03165609365859687
4,AR0600200,"Little Rock, AR",assault,0.02362118833016428,0.029880776842827323,0.03167397508135465
5,AR0600200,"Little Rock, AR",assault,0.08416432459799554,0.10043478893126187,0.03165609365859687
6,AR0600200,"Little Rock, AR",assault,0.09388595638774198,0.10194378519231934,0.031652917020437356
7,AR0600200,"Little Rock, AR",assault,0.0980484056274543,0.09717529656292548,0.03160381656596063
8,AR0600200,"Little Rock, AR",assault,0.09744862594342074,0.08955644093560633,0.031652917020437356
9,AR0600200,"Little Rock, AR",assault,0.06107733250161581,0.04251285469812159,0.03165609365859687
10,AR0600200,"Little Rock, AR",assault,0.0035278849560932434,-0.014553656422403962,0.03167397508135465
11,AR0600200,"Little Rock, AR",assault,-0.03854664389444375,-0.0333464524722722,0.03165609365859687
12,AR0600200,"Little Rock, AR",assault,-0.07541734897044762,-0.05018256915375294,0.031652917020437356
1,AR0600300,"North Little Rock, AR",assault,-0.1251974789137118,-0.13373781258604803,0.03517599063485112
2,AR0600300,"North Little Rock, AR",assault,-0.1430663066469726,-0.19048053504601362,0.03525801227548105
3,AR0600300,"North Little Rock, AR",assault,-0.07954593991891012,-0.0908435938897971,0.03521368449385674
4,AR0600300,"North Little Rock, AR",assault,0.02362118833016428,0.07341050745389915,0.03523316381850519
5,AR0600300,"North Little Rock, AR",assault,0.08416432459799554,0.12328074658862267,0.03521368449385675
6,AR0600300,"North Little Rock, AR",assault,0.09388595638774198,0.0883837365230013,0.03525801227548105
7,AR0600300,"North Little Rock, AR",assault,0.0980484056274543,0.10243238945427513,0.03517599063485111
8,AR0600300,"North Little Rock, AR",assault,0.09744862594342074,0.13014165700609023,0.03525801227548105
9,AR0600300,"North Little Rock, AR",assault,0.06107733250161581,0.061810138981646646,0.03521368449385675
10,AR0600300,"North Little Rock, AR",assault,0.0035278849560932434,-0.04210508432212625,0.03523316381850519
11,AR0600300,"North Little Rock, AR",assault,-0.03854664389444375,-0.06294186854869936,0.03521368449385674
12,AR0600300,"North Little Rock, AR",assault,-0.07541734897044762,-0.05935028161485081,0.03525801227548105
1,AR0660100,"Fort Smith, AR",assault,-0.1251974789137118,-0.13251567552672944,0.03430448968424919
2,AR0660100,"Fort Smith, AR",assault,-0.1430663066469726,-0.18392635931946572,0.034364804360594886
3,AR0660100,"Fort Smith, AR",assault,-0.07954593991891012,-0.11135943898702921,0.03435530433674716
4,AR0660100,"Fort Smith, AR",assault,0.02362118833016428,0.02026862100563086,0.03435893468905446
5,AR0660100,"Fort Smith, AR",assault,0.08416432459799554,0.08731073125405825,0.03435530433674717
6,AR0660100,"Fort Smith, AR",assault,0.09388595638774198,0.08700041407439657,0.034364804360594886
7,AR0660100,"Fort Smith, AR",assault,0.0980484056274543,0.09225858016783711,0.034304489684249186
8,AR0660100,"Fort Smith, AR",assault,0.09744862594342074,0.10121402614381304,0.034364804360594886
9,AR0660100,"Fort Smith, AR",assault,0.06107733250161581,0.06890420117026888,0.03435530433674717
10,AR0660100,"Fort Smith, AR",assault,0.0035278849560932434,0.01998847435326148,0.03435893468905446
11,AR0660100,"Fort Smith, AR",assault,-0.03854664389444375,-0.00459839807840565,0.03435530433674716
12,AR0660100,"Fort Smith, AR",assault,-0.07541734897044762,-0.04454517625763621,0.03436480436059488
1,AR0720100,"Fayetteville, AR",assault,-0.1251974789137118,-0.16148121328147833,0.03635873520907831
2,AR0720100,"Fayetteville, AR",assault,-0.1430663066469726,-0.16081155819113382,0.03645526735976036
3,AR0720100,"Fayetteville, AR",assault,-0.07954593991891012,-0.07466503832638322,0.0363647263426588
4,AR0720100,"Fayetteville, AR",assault,0.02362118833016428,0.028086955941307314,0.036433142257816846
5,AR0720100,"Fayetteville, AR",assault,0.08416432459799554,0.0832530998059444,0.0363647263426588
6,AR0720100,"Fayetteville, AR",assault,0.09388595638774198,0.10032195007174027,0.03645526735976036
7,AR0720100,"Fayetteville, AR",assault,0.0980484056274543,0.10905136863275568,0.036358735209078306
8,AR0720100,"Fayetteville, AR",assault,0.09744862594342074,0.10202268939079662,0.03645526735976036
9,AR0720100,"Fayetteville, AR",assault,0.06107733250161581,0.06830601417476868,0.036364726342658804
10,AR0720100,"Fayetteville, AR",assault,0.0035278849560932434,0.024342888707415352,0.036433142257816846
11,AR0720100,"Fayetteville, AR",assault,-0.03854664389444375,-0.024464231005607268,0.0363647263426588
12,AR0720100,"Fayetteville, AR",assault,-0.07541734897044762,-0.09396292592012567,0.03645526735976036
1,AZ0070100,"Avondale, AZ",assault,-0.1251974789137118,-0.07348043797695786,0.03844935791455437
2,AZ0070100,"Avondale, AZ",assault,-0.1430663066469726,-0.11990770627796253,0.03835795579036906
3,AZ0070100,"Avondale, AZ",assault,-0.07954593991891012,-0.08695902901086025,0.038452706942239435
4,AZ0070100,"Avondale, AZ",assault,0.02362118833016428,0.03587173451469847,0.03837860761292596
5,AZ0070100,"Avondale, AZ",assault,0.08416432459799554,0.10545140342627271,0.038452706942239435
6,AZ0070100,"Avondale, AZ",assault,0.09388595638774198,0.07398903648888497,0.03835795579036906
7,AZ0070100,"Avondale, AZ",assault,0.0980484056274543,0.05652824631045783,0.038449357914554366
8,AZ0070100,"Avondale, AZ",assault,0.09744862594342074,0.09309969545876841,0.03835795579036906
9,AZ0070100,"Avondale, AZ",assault,0.06107733250161581,0.0771032098581662,0.03845270694223944
10,AZ0070100,"Avondale, AZ",assault,0.0035278849560932434,-0.018919542848198394,0.03837860761292596
11,AZ0070100,"Avondale, AZ",assault,-0.03854664389444375,-0.07864339260707864,0.038452706942239435
12,AZ0070100,"Avondale, AZ",assault,-0.07541734897044762,-0.06413321733619094,0.03835795579036906
1,AZ0070300,"Buckeye, AZ",assault,-0.1251974789137118,-0.10194966677881423,0.041398982976504003
2,AZ0070300,"Buckeye, AZ",assault,-0.1430663066469726,-0.1216342161959494,0.04144084522562101
3,AZ0070300,"Buckeye, AZ",assault,-0.07954593991891012,-0.06718814684723255,0.041368952702841834
4,AZ0070300,"Buckeye, AZ",assault,0.02362118833016428,0.01844852881623138,0.041381597366156105
5,AZ0070300,"Buckeye, AZ",assault,0.08416432459799554,0.0601333653027471,0.04136895270284184
6,AZ0070300,"Buckeye, AZ",assault,0.09388595638774198,0.05712103851528775,0.04144084522562101
7,AZ0070300,"Buckeye, AZ",assault,0.0980484056274543,0.05988460840401771,0.041398982976504003
8,AZ0070300,"Buckeye, AZ",assault,0.09744862594342074,0.07265636444971729,0.04144084522562101
9,AZ0070300,"Buckeye, AZ",assault,0.06107733250161581,0.06027535347579699,0.04136895270284184
10,AZ0070300,"Buckeye, AZ",assault,0.0035278849560932434,0.02361652955856517,0.041381597366156105
11,AZ0070300,"Buckeye, AZ",assault,-0.03854664389444375,-0.01115551355651505,0.041368952702841834
12,AZ0070300,"Buckeye, AZ",assault,-0.07541734897044762,-0.05020824514385217,0.041440845225621005
1,AZ0070500,"Chandler, AZ",assault,-0.1251974789137118,-0.1564741264095798,0.03700542617451101
2,AZ0070500,"Chandler, AZ",assault,-0.1430663066469726,-0.1497575486499958,0.037062399204677396
3,AZ0070500,"Chandler, AZ",assault,-0.07954593991891012,-0.042252185858103246,0.037014341339581716
4,AZ0070500,"Chandler, AZ",assault,0.02362118833016428,0.05099695983137575,0.03701864516205193
5,AZ0070500,"Chandler, AZ",assault,0.08416432459799554,0.0531566768299182,0.037014341339581716
6,AZ0070500,"Chandler, AZ",assault,0.09388595638774198,0.04241302179442521,0.037062399204677396
7,AZ0070500,"Chandler, AZ",assault,0.0980484056274543,0.09025539039814999,0.03700542617451101
8,AZ0070500,"Chandler, AZ",assault,0.09744862594342074,0.12933744711387088,0.037062399204677396
9,AZ0070500,"Chandler, AZ",assault,0.06107733250161581,0.08805082033340818,0.03701434133958172
10,AZ0070500,"Chandler, AZ",assault,0.0035278849560932434,0.015221776180054094,0.03701864516205193
11,AZ0070500,"Chandler, AZ",assault,-0.03854664389444375,-0.032736575293793355,0.037014341339581716
12,AZ0070500,"Chandler, AZ",assault,-0.07541734897044762,-0.08821165626973007,0.037062399204677396
1,AZ0071100,"Gilbert, AZ",assault,-0.1251974789137118,-0.08594646739448614,0.03890999015319487
2,AZ0071100,"Gilbert, AZ",assault,-0.1430663066469726,-0.08791376691108328,0.038972442279822515
3,AZ0071100,"Gilbert, AZ",assault,-0.07954593991891012,-0.06921288252215456,0.03891025115119222
4,AZ0071100,"Gilbert, AZ",assault,0.02362118833016428,-0.0023831032399936965,0.03891251628261023
5,AZ0071100,"Gilbert, AZ",assault,0.08416432459799554,0.07456674566103537,0.038910251151192225
6,AZ0071100,"Gilbert, AZ",assault,0.09388595638774198,0.09167412445801128,0.038972442279822515
7,AZ0071100,"Gilbert, AZ",assault,0.0980484056274543,0.05786368461467467,0.038909990153194865
8,AZ0071100,"Gilbert, AZ",assault,0.09744862594342074,0.041817807941353605,0.038972442279822515
9,AZ0071100,"Gilbert, AZ",assault,0.06107733250161581,0.051199706332236375,0.038910251151192225
10,AZ0071100,"Gilbert, AZ",assault,0.0035278849560932434,0.0304658860198052,0.03891251628261023
11,AZ0071100,"Gilbert, AZ",assault,-0.03854664389444375,-0.028470786691305722,0.03891025115119222
12,AZ0071100,"Gilbert, AZ",assault,-0.07541734897044762,-0.0736609482680931,0.038972442279822515
1,AZ0071500,"Goodyear, AZ",assault,-0.1251974789137118,-0.09735037379357757,0.03977882301338134
2,AZ0071500,"Goodyear, AZ",assault,-0.1430663066469726,-0.11325600128838814,0.03984967948137474
3,AZ0071500,"Goodyear, AZ",assault,-0.07954593991891012,-0.05771381296836647,0.039831258909793055
4,AZ0071500,"Goodyear, AZ",assault,0.02362118833016428,0.019523199509107737,0.039792373400675346
5,AZ0071500,"Goodyear, AZ",assault,0.08416432459799554,0.03638813582320889,0.03983125890979306
6,AZ0071500,"Goodyear, AZ",assault,0.09388595638774198,0.026969508493499716,0.03984967948137474
7,AZ0071500,"Goodyear, AZ",assault,0.0980484056274543,0.0692022251980847,0.039778823013381336
8,AZ0071500,"Goodyear, AZ",assault,0.09744862594342074,0.1234655424719192,0.03984967948137474
9,AZ0071500,"Goodyear, AZ",assault,0.06107733250161581,0.09607150274739044,0.03983125890979306
10,AZ0071500,"Goodyear, AZ",assault,0.0035278849560932434,0.008624949086385166,0.039792373400675346
11,AZ0071500,"Goodyear, AZ",assault,-0.03854664389444375,-0.04659767700674001,0.039831258909793055
12,AZ0071500,"Goodyear, AZ",assault,-0.07541734897044762,-0.06532719827252366,0.03984967948137474
1,AZ0072300,"Phoenix, AZ",assault,-0.1251974789137118,-0.12573695134803686,0.03083319104227601
2,AZ0072300,"Phoenix, AZ",assault,-0.1430663066469726,-0.12385653804974048,0.030847878476250597
3,AZ0072300,"Phoenix, AZ",assault,-0.07954593991891012,-0.042164079113140254,0.03086842920976218
4,AZ0072300,"Phoenix, AZ",assault,0.02362118833016428,0.055001500796230875,0.030874475141679257
5,AZ0072300,"Phoenix, AZ",assault,0.08416432459799554,0.08248053662864252,0.030868429209762186
6,AZ0072300,"Phoenix, AZ",assault,0.09388595638774198,0.06012475259367896,0.030847878476250597
7,AZ0072300,"Phoenix, AZ",assault,0.0980484056274543,0.06137273941613429,0.030833191042276005
8,AZ0072300,"Phoenix, AZ",assault,0.09744862594342074,0.08223432702674392,0.030847878476250597
9,AZ0072300,"Phoenix, AZ",assault,0.06107733250161581,0.0649060800220463,0.030868429209762186
10,AZ0072300,"Phoenix, AZ",assault,0.0035278849560932434,0.009362711135671716,0.030874475141679257
11,AZ0072300,"Phoenix, AZ",assault,-0.03854664389444375,-0.04085832560564603,0.03086842920976218
12,AZ0072300,"Phoenix, AZ",assault,-0.07541734897044762,-0.08286675350258497,0.030847878476250597
1,AZ0072500,"Scottsdale, AZ",assault,-0.1251974789137118,-0.1165991612357988,0.0379370440642203
2,AZ0072500,"Scottsdale, AZ",assault,-0.1430663066469726,-0.10573649023507282,0.03798040938128978
3,AZ0072500,"Scottsdale, AZ",assault,-0.07954593991891012,-0.06121949355897944,0.03796951481973142
4,AZ0072500,"Scottsdale, AZ",assault,0.02362118833016428,-0.004807728570247888,0.037957822118309274
5,AZ0072500,"Scottsdale, AZ",assault,0.08416432459799554,0.040519798233550244,0.037969514819731424
6,AZ0072500,"Scottsdale, AZ",assault,0.09388595638774198,0.06825637980268978,0.03798040938128978
7,AZ0072500,"Scottsdale, AZ",assault,0.0980484056274543,0.08588368779652737,0.03793704406422029
8,AZ0072500,"Scottsdale, AZ",assault,0.09744862594342074,0.09428237568916663,0.037980409381289784
9,AZ0072500,"Scottsdale, AZ",assault,0.06107733250161581,0.08048085245234471,0.037969514819731424
10,AZ0072500,"Scottsdale, AZ",assault,0.0035278849560932434,0.03552320200951935,0.037957822118309274
11,AZ0072500,"Scottsdale, AZ",assault,-0.03854664389444375,-0.029065683687644107,0.03796951481973142
12,AZ0072500,"Scottsdale, AZ",assault,-0.07541734897044762,-0.087517738696055,0.03798040938128978
1,AZ0072900,"Tempe, AZ",assault,-0.1251974789137118,-0.09832904562530399,0.034644882007941906
