month,city_id,city_label,crime_type,global_season_centered,city_season_centered,city_season_se
1,AL0011200,"Hoover, AL",burglary,-0.04171547292485084,0.014400659387692617,0.05113149727655985
2,AL0011200,"Hoover, AL",burglary,-0.1165717868932366,-0.07660968061559949,0.05120884577015955
3,AL0011200,"Hoover, AL",burglary,-0.10905540010747705,-0.14299326151962968,0.051248463690732916
4,AL0011200,"Hoover, AL",burglary,-0.04542963067724679,-0.122753801696114,0.05119958096088969
5,AL0011200,"Hoover, AL",burglary,0.0018165334085476902,-0.03308381969956531,0.05124846369073292
6,AL0011200,"Hoover, AL",burglary,0.027738355203789762,0.034535923537784584,0.05120884577015955
7,AL0011200,"Hoover, AL",burglary,0.05824567154536681,0.03311814687603264,0.05113149727655984
8,AL0011200,"Hoover, AL",burglary,0.07139876446546095,0.013103413847651853,0.05120884577015955
9,AL0011200,"Hoover, AL",burglary,0.047352179059185415,0.03196818848795677,0.05124846369073292
10,AL0011200,"Hoover, AL",burglary,0.028899432056730796,0.07523499543238872,0.05119958096088969
11,AL0011200,"Hoover, AL",burglary,0.04335648901922793,0.09659008646751294,0.051248463690732916
12,AL0011200,"Hoover, AL",burglary,0.03396486584450194,0.07648914949388835,0.05120884577015955
1,AR0040100,"Bentonville, AR",burglary,-0.04171547292485084,-0.03388321657251159,0.0533755935428544
2,AR0040100,"Bentonville, AR",burglary,-0.1165717868932366,-0.08815664260219354,0.05341895546216211
3,AR0040100,"Bentonville, AR",burglary,-0.10905540010747705,-0.1050207706029237,0.0533859979965071
4,AR0040100,"Bentonville, AR",burglary,-0.04542963067724679,-0.05540901366512567,0.0534404652491519
5,AR0040100,"Bentonville, AR",burglary,0.0018165334085476902,-0.0023414920918693135,0.053385997996507104
6,AR0040100,"Bentonville, AR",burglary,0.027738355203789762,0.016837967214889702,0.05341895546216211
7,AR0040100,"Bentonville, AR",burglary,0.05824567154536681,0.04432017271239952,0.05337559354285439
8,AR0040100,"Bentonville, AR",burglary,0.07139876446546095,0.09204552589807385,0.05341895546216211
9,AR0040100,"Bentonville, AR",burglary,0.047352179059185415,0.09847269775891608,0.05338599799650711
10,AR0040100,"Bentonville, AR",burglary,0.028899432056730796,0.04497205752523774,0.0534404652491519
11,AR0040100,"Bentonville, AR",burglary,0.04335648901922793,-0.0015473912040110372,0.0533859979965071
12,AR0040100,"Bentonville, AR",burglary,0.03396486584450194,-0.010289894370882067,0.05341895546216211
1,AR0160100,"Jonesboro, AR",burglary,-0.04171547292485084,-0.05307819768767898,0.04200841618373851
2,AR0160100,"Jonesboro, AR",burglary,-0.1165717868932366,-0.1955915154882338,0.04209761933093562
3,AR0160100,"Jonesboro, AR",burglary,-0.10905540010747705,-0.1689048968627035,0.04208211569244846
4,AR0160100,"Jonesboro, AR",burglary,-0.04542963067724679,-0.06186333630685285,0.04210121325403746
5,AR0160100,"Jonesboro, AR",burglary,0.0018165334085476902,-0.022143166925350365,0.04208211569244847
6,AR0160100,"Jonesboro, AR",burglary,0.027738355203789762,-0.003973702793147632,0.04209761933093562
7,AR0160100,"Jonesboro, AR",burglary,0.05824567154536681,0.0738774706200174,0.0420084161837385
8,AR0160100,"Jonesboro, AR",burglary,0.07139876446546095,0.1265234587607407,0.04209761933093562
9,AR0160100,"Jonesboro, AR",burglary,0.047352179059185415,0.07903756720287194,0.04208211569244847
10,AR0160100,"Jonesboro, AR",burglary,0.028899432056730796,0.041064063374514376,0.04210121325403746
11,AR0160100,"Jonesboro, AR",burglary,0.04335648901922793,0.0912112236528434,0.04208211569244846
12,AR0160100,"Jonesboro, AR",burglary,0.03396486584450194,0.09384103245297928,0.042097619330935615
1,AR0230100,"Conway, AR",burglary,-0.04171547292485084,0.00407557374126554,0.04909212395558973
2,AR0230100,"Conway, AR",burglary,-0.1165717868932366,-0.12668757768677072,0.049202856659834884
3,AR0230100,"Conway, AR",burglary,-0.10905540010747705,-0.11392710218168788,0.049163647580996624
4,AR0230100,"Conway, AR",burglary,-0.04542963067724679,-0.014582172432508174,0.04917937556497039
5,AR0230100,"Conway, AR",burglary,0.0018165334085476902,0.0023882037167353,0.04916364758099663
6,AR0230100,"Conway, AR",burglary,0.027738355203789762,-0.03387109023759669,0.049202856659834884
7,AR0230100,"Conway, AR",burglary,0.05824567154536681,0.005399250509519934,0.04909212395558973
8,AR0230100,"Conway, AR",burglary,0.07139876446546095,0.07251666141541711,0.049202856659834884
9,AR0230100,"Conway, AR",burglary,0.047352179059185415,0.0502813616595488,0.04916364758099663
10,AR0230100,"Conway, AR",burglary,0.028899432056730796,0.005107348181722689,0.04917937556497039
11,AR0230100,"Conway, AR",burglary,0.04335648901922793,0.05178271255461826,0.049163647580996624
12,AR0230100,"Conway, AR",burglary,0.03396486584450194,0.0975168307597358,0.04920285665983488
1,AR0600200,"Little Rock, AR",burglary,-0.04171547292485084,-0.020481970024058983,0.040064648140287935
2,AR0600200,"Little Rock, AR",burglary,-0.1165717868932366,-0.11348281077161926,0.040162729261664656
3,AR0600200,"Little Rock, AR",burglary,-0.10905540010747705,-0.12542351130649382,0.0401049979711388
4,AR0600200,"Little Rock, AR",burglary,-0.04542963067724679,-0.04395920106890139,0.040146431962069816
5,AR0600200,"Little Rock, AR",burglary,0.0018165334085476902,0.026628313508436495,0.040104997971138805
6,AR0600200,"Little Rock, AR",burglary,0.027738355203789762,0.04035114619706445,0.040162729261664656
7,AR0600200,"Little Rock, AR",burglary,0.05824567154536681,0.047988900727764974,0.04006464814028793
8,AR0600200,"Little Rock, AR",burglary,0.07139876446546095,0.06450083022609286,0.04016272926166466
9,AR0600200,"Little Rock, AR",burglary,0.047352179059185415,0.04893460005726144,0.040104997971138805
10,AR0600200,"Little Rock, AR",burglary,0.028899432056730796,0.016452270365195386,0.040146431962069816
11,AR0600200,"Little Rock, AR",burglary,0.04335648901922793,0.02235366703708987,0.0401049979711388
12,AR0600200,"Little Rock, AR",burglary,0.03396486584450194,0.03613776505216797,0.040162729261664656
1,AR0600300,"North Little Rock, AR",burglary,-0.04171547292485084,-0.021710200257002262,0.04427395280207102
2,AR0600300,"North Little Rock, AR",burglary,-0.1165717868932366,-0.12151645107879736,0.04444927038687754
3,AR0600300,"North Little Rock, AR",burglary,-0.10905540010747705,-0.13264322915877136,0.04437775257550803
4,AR0600300,"North Little Rock, AR",burglary,-0.04542963067724679,-0.08057435115172903,0.044467809529405135
5,AR0600300,"North Little Rock, AR",burglary,0.0018165334085476902,-0.026548715058037086,0.04437775257550803
6,AR0600300,"North Little Rock, AR",burglary,0.027738355203789762,0.033367493779251176,0.04444927038687754
7,AR0600300,"North Little Rock, AR",burglary,0.05824567154536681,0.09392069620319138,0.04427395280207101
8,AR0600300,"North Little Rock, AR",burglary,0.07139876446546095,0.094044894370163,0.04444927038687754
9,AR0600300,"North Little Rock, AR",burglary,0.047352179059185415,0.03296117650394788,0.04437775257550804
10,AR0600300,"North Little Rock, AR",burglary,0.028899432056730796,0.008363855205539892,0.044467809529405135
11,AR0600300,"North Little Rock, AR",burglary,0.04335648901922793,0.05402027176667141,0.04437775257550803
12,AR0600300,"North Little Rock, AR",burglary,0.03396486584450194,0.06631455887557239,0.04444927038687754
1,AR0660100,"Fort Smith, AR",burglary,-0.04171547292485084,-0.10878666098163844,0.04287173579632706
2,AR0660100,"Fort Smith, AR",burglary,-0.1165717868932366,-0.1604679381459667,0.04296840228859678
3,AR0660100,"Fort Smith, AR",burglary,-0.10905540010747705,-0.1376377042591724,0.04286764636422693
4,AR0660100,"Fort Smith, AR",burglary,-0.04542963067724679,-0.052045423653959616,0.04289242959285542
5,AR0660100,"Fort Smith, AR",burglary,0.0018165334085476902,0.031929149925039375,0.04286764636422693
6,AR0660100,"Fort Smith, AR",burglary,0.027738355203789762,0.06624852803524223,0.04296840228859678
7,AR0660100,"Fort Smith, AR",burglary,0.05824567154536681,0.06721121195561369,0.042871735796327054
8,AR0660100,"Fort Smith, AR",burglary,0.07139876446546095,0.07531349109173563,0.04296840228859678
9,AR0660100,"Fort Smith, AR",burglary,0.047352179059185415,0.0940587062309661,0.04286764636422693
10,AR0660100,"Fort Smith, AR",burglary,0.028899432056730796,0.09362087267998434,0.04289242959285542
11,AR0660100,"Fort Smith, AR",burglary,0.04335648901922793,0.05322529712919162,0.04286764636422693
12,AR0660100,"Fort Smith, AR",burglary,0.03396486584450194,-0.02266953000703583,0.04296840228859678
1,AR0720100,"Fayetteville, AR",burglary,-0.04171547292485084,-0.08375990909307887,0.045504871133020326
2,AR0720100,"Fayetteville, AR",burglary,-0.1165717868932366,-0.13187187192467179,0.04560309678607507
3,AR0720100,"Fayetteville, AR",burglary,-0.10905540010747705,-0.10255657246014871,0.045554996697780334
4,AR0720100,"Fayetteville, AR",burglary,-0.04542963067724679,-0.04588234896470074,0.045545133429503226
5,AR0720100,"Fayetteville, AR",burglary,0.0018165334085476902,-0.010662711257067196,0.04555499669778035
6,AR0720100,"Fayetteville, AR",burglary,0.027738355203789762,0.02178335619538429,0.04560309678607507
7,AR0720100,"Fayetteville, AR",burglary,0.05824567154536681,0.06804607665290584,0.04550487113302031
8,AR0720100,"Fayetteville, AR",burglary,0.07139876446546095,0.09336296437904372,0.04560309678607507
9,AR0720100,"Fayetteville, AR",burglary,0.047352179059185415,0.07976149735469368,0.04555499669778035
10,AR0720100,"Fayetteville, AR",burglary,0.028899432056730796,0.06159618140487376,0.045545133429503226
11,AR0720100,"Fayetteville, AR",burglary,0.04335648901922793,0.049171618802695216,0.045554996697780334
12,AR0720100,"Fayetteville, AR",burglary,0.03396486584450194,0.0010117189100708297,0.04560309678607506
1,AZ0070100,"Avondale, AZ",burglary,-0.04171547292485084,0.02445253384193963,0.04625740726923512
2,AZ0070100,"Avondale, AZ",burglary,-0.1165717868932366,-0.05040317408347504,0.046470963103906915
3,AZ0070100,"Avondale, AZ",burglary,-0.10905540010747705,-0.054963036015098235,0.04636944059800278
4,AZ0070100,"Avondale, AZ",burglary,-0.04542963067724679,-0.004809903437753917,0.04650958379189758
5,AZ0070100,"Avondale, AZ",burglary,0.0018165334085476902,-0.006678467006019568,0.04636944059800279
6,AZ0070100,"Avondale, AZ",burglary,0.027738355203789762,-0.02562736185594702,0.046470963103906915
7,AZ0070100,"Avondale, AZ",burglary,0.05824567154536681,0.033237102052819816,0.046257407269235114
8,AZ0070100,"Avondale, AZ",burglary,0.07139876446546095,0.0985856821156543,0.046470963103906915
9,AZ0070100,"Avondale, AZ",burglary,0.047352179059185415,0.04545590815251808,0.04636944059800279
10,AZ0070100,"Avondale, AZ",burglary,0.028899432056730796,-0.052879732457005536,0.04650958379189758
11,AZ0070100,"Avondale, AZ",burglary,0.04335648901922793,-0.041504041026159726,0.04636944059800278
12,AZ0070100,"Avondale, AZ",burglary,0.03396486584450194,0.035134489718527194,0.04647096310390691
1,AZ0070300,"Buckeye, AZ",burglary,-0.04171547292485084,-0.0306893226832739,0.050257228041586756
2,AZ0070300,"Buckeye, AZ",burglary,-0.1165717868932366,-0.14897352153395146,0.05041790043854003
3,AZ0070300,"Buckeye, AZ",burglary,-0.10905540010747705,-0.16130071473602953,0.050372048337378454
4,AZ0070300,"Buckeye, AZ",burglary,-0.04542963067724679,-0.07152832995711811,0.050379205687497916
5,AZ0070300,"Buckeye, AZ",burglary,0.0018165334085476902,0.01159904657212838,0.050372048337378454
6,AZ0070300,"Buckeye, AZ",burglary,0.027738355203789762,0.05082102099055513,0.05041790043854003
7,AZ0070300,"Buckeye, AZ",burglary,0.05824567154536681,0.08008954079138429,0.05025722804158675
8,AZ0070300,"Buckeye, AZ",burglary,0.07139876446546095,0.08846687540149446,0.05041790043854003
9,AZ0070300,"Buckeye, AZ",burglary,0.047352179059185415,0.05139385049546211,0.05037204833737846
10,AZ0070300,"Buckeye, AZ",burglary,0.028899432056730796,0.022128111849007696,0.050379205687497916
11,AZ0070300,"Buckeye, AZ",burglary,0.04335648901922793,0.048907599560328585,0.050372048337378454
12,AZ0070300,"Buckeye, AZ",burglary,0.03396486584450194,0.05908584325001233,0.05041790043854003
