month,city_id,city_label,crime_type,global_season_centered,city_season_centered,city_season_se
1,AL0010200,"Birmingham, AL",murder,-0.058804930073651264,-0.07830351655994143,0.05243172285950523
2,AL0010200,"Birmingham, AL",murder,-0.135445940382076,-0.15136318844905794,0.052342135723500424
3,AL0010200,"Birmingham, AL",murder,-0.13355723675023795,-0.11938039796507562,0.05250813659104458
4,AL0010200,"Birmingham, AL",murder,-0.04435065372038784,-0.04922769692332547,0.05245171313047426
5,AL0010200,"Birmingham, AL",murder,0.04930096736513672,0.011639840454627128,0.052508136591044585
6,AL0010200,"Birmingham, AL",murder,0.09738296415942169,0.09554979118453302,0.052342135723500424
7,AL0010200,"Birmingham, AL",murder,0.11118341410659602,0.16666713339721753,0.052431722859505224
8,AL0010200,"Birmingham, AL",murder,0.09275342812753531,0.12495571964478251,0.052342135723500424
9,AL0010200,"Birmingham, AL",murder,0.0384862404627525,0.004609312323524061,0.052508136591044585
10,AL0010200,"Birmingham, AL",murder,-0.00802783031255692,-0.03913591991395067,0.05245171313047426
11,AL0010200,"Birmingham, AL",murder,-0.006608455110596065,0.014767628349648268,0.05250813659104458
12,AL0010200,"Birmingham, AL",murder,-0.0023119678719362097,0.01922129445701863,0.052342135723500424
1,AL0011200,"Hoover, AL",murder,-0.058804930073651264,-0.040214810947365925,0.06455196697403745
2,AL0011200,"Hoover, AL",murder,-0.135445940382076,-0.11465550114106135,0.06456425260022777
3,AL0011200,"Hoover, AL",murder,-0.13355723675023795,-0.1342510711600901,0.06454597553922699
4,AL0011200,"Hoover, AL",murder,-0.04435065372038784,-0.0595186557034304,0.06454836811924178
5,AL0011200,"Hoover, AL",murder,0.04930096736513672,0.039797960072566,0.064545975539227
6,AL0011200,"Hoover, AL",murder,0.09738296415942169,0.09345777497373783,0.06456425260022777
7,AL0011200,"Hoover, AL",murder,0.11118341410659602,0.10404248389247492,0.06455196697403745
8,AL0011200,"Hoover, AL",murder,0.09275342812753531,0.08898256706151966,0.06456425260022777
9,AL0011200,"Hoover, AL",murder,0.0384862404627525,0.04475046413543942,0.064545975539227
10,AL0011200,"Hoover, AL",murder,-0.00802783031255692,-0.004309017241678598,0.06454836811924178
11,AL0011200,"Hoover, AL",murder,-0.006608455110596065,-0.01412502599302434,0.06454597553922699
12,AL0011200,"Hoover, AL",murder,-0.0023119678719362097,-0.003957167949087141,0.06456425260022776
1,AL0020100,"Mobile, AL",murder,-0.058804930073651264,0.017798228249141027,0.059133039870740534
2,AL0020100,"Mobile, AL",murder,-0.135445940382076,-0.05759710682268899,0.05901781551148195
3,AL0020100,"Mobile, AL",murder,-0.13355723675023795,-0.09875853637490085,0.05888596356947068
4,AL0020100,"Mobile, AL",murder,-0.04435065372038784,-0.03383689568029626,0.05868137115808987
5,AL0020100,"Mobile, AL",murder,0.04930096736513672,0.05053407839489418,0.058885963569470685
6,AL0020100,"Mobile, AL",murder,0.09738296415942169,0.06693541740893652,0.05901781551148195
