month,city_id,city_label,crime_type,global_season_centered,city_season_centered,city_season_se
1,AL0011200,"Hoover, AL",property,-0.041662474767637785,0.015881464858289913,0.02912871594519471
2,AL0011200,"Hoover, AL",property,-0.10291650859507968,-0.09197923757058496,0.02910285486136038
3,AL0011200,"Hoover, AL",property,-0.09326987579027994,-0.12624728406156654,0.029209180867936432
4,AL0011200,"Hoover, AL",property,-0.03762119237774474,-0.06845307460394102,0.029150240401413167
5,AL0011200,"Hoover, AL",property,0.0026283828617202076,0.001340911745105683,0.029209180867936432
6,AL0011200,"Hoover, AL",property,0.02676715532573615,0.0358577992785899,0.02910285486136038
7,AL0011200,"Hoover, AL",property,0.05697270444947651,0.0478206588202061,0.029128715945194707
8,AL0011200,"Hoover, AL",property,0.06947439815823744,0.039283089703471455,0.02910285486136038
9,AL0011200,"Hoover, AL",property,0.04451753567159898,0.00984901251595704,0.029209180867936436
10,AL0011200,"Hoover, AL",property,0.022310962695906014,0.004750950925445007,0.029150240401413167
11,AL0011200,"Hoover, AL",property,0.030813727575121998,0.05135523612200779,0.029209180867936432
12,AL0011200,"Hoover, AL",property,0.021985184792944854,0.08054047226701963,0.02910285486136038
1,AR0040100,"Bentonville, AR",property,-0.041662474767637785,-0.07436706504181068,0.031649835369192754
2,AR0040100,"Bentonville, AR",property,-0.10291650859507968,-0.12254795673523698,0.03167378063129129
3,AR0040100,"Bentonville, AR",property,-0.09326987579027994,-0.10328491733383287,0.03165796340267667
4,AR0040100,"Bentonville, AR",property,-0.03762119237774474,-0.01069691732023117,0.031685713196234186
5,AR0040100,"Bentonville, AR",property,0.0026283828617202076,0.06868264130937907,0.031657963402676674
6,AR0040100,"Bentonville, AR",property,0.02676715532573615,0.07211359281911954,0.03167378063129129
7,AR0040100,"Bentonville, AR",property,0.05697270444947651,0.04186850537432695,0.031649835369192754
8,AR0040100,"Bentonville, AR",property,0.06947439815823744,0.039417301261080916,0.03167378063129129
9,AR0040100,"Bentonville, AR",property,0.04451753567159898,0.05265282152716054,0.031657963402676674
10,AR0040100,"Bentonville, AR",property,0.022310962695906014,0.043195476987714906,0.031685713196234186
11,AR0040100,"Bentonville, AR",property,0.030813727575121998,0.014448014164776956,0.03165796340267667
12,AR0040100,"Bentonville, AR",property,0.021985184792944854,-0.021481497012447198,0.03167378063129129
1,AR0230100,"Conway, AR",property,-0.041662474767637785,-0.0356287073476452,0.028105579515533698
2,AR0230100,"Conway, AR",property,-0.10291650859507968,-0.12735527129609445,0.028139237950080765
3,AR0230100,"Conway, AR",property,-0.09326987579027994,-0.11952398176187179,0.02815057787449949
4,AR0230100,"Conway, AR",property,-0.03762119237774474,-0.029197662263587252,0.028156359915415066
5,AR0230100,"Conway, AR",property,0.0026283828617202076,0.021263679843952762,0.028150577874499493
6,AR0230100,"Conway, AR",property,0.02676715532573615,0.010621192167749129,0.028139237950080765
7,AR0230100,"Conway, AR",property,0.05697270444947651,0.022139019704176758,0.028105579515533694
8,AR0230100,"Conway, AR",property,0.06947439815823744,0.06538631475920864,0.028139237950080765
9,AR0230100,"Conway, AR",property,0.04451753567159898,0.07104471286845443,0.028150577874499497
10,AR0230100,"Conway, AR",property,0.022310962695906014,0.04268734990705571,0.028156359915415066
11,AR0230100,"Conway, AR",property,0.030813727575121998,0.04070527669293301,0.02815057787449949
12,AR0230100,"Conway, AR",property,0.021985184792944854,0.037858076725668245,0.028139237950080765
1,AR0600200,"Little Rock, AR",property,-0.041662474767637785,-0.052113407276743975,0.025591280513649842
2,AR0600200,"Little Rock, AR",property,-0.10291650859507968,-0.11229201361621831,0.025615039246358634
3,AR0600200,"Little Rock, AR",property,-0.09326987579027994,-0.10609202690425298,0.025637742366624455
4,AR0600200,"Little Rock, AR",property,-0.03762119237774474,-0.04191344815175771,0.025646529636454137
5,AR0600200,"Little Rock, AR",property,0.0026283828617202076,0.013857589870012312,0.025637742366624458
6,AR0600200,"Little Rock, AR",property,0.02676715532573615,0.037279166819744435,0.025615039246358634
7,AR0600200,"Little Rock, AR",property,0.05697270444947651,0.054613201119924425,0.02559128051364984
8,AR0600200,"Little Rock, AR",property,0.06947439815823744,0.06929817996975174,0.025615039246358634
9,AR0600200,"Little Rock, AR",property,0.04451753567159898,0.060598399414605965,0.025637742366624458
10,AR0600200,"Little Rock, AR",property,0.022310962695906014,0.03941365430857725,0.025646529636454137
11,AR0600200,"Little Rock, AR",property,0.030813727575121998,0.029136243776454216,0.025637742366624455
12,AR0600200,"Little Rock, AR",property,0.021985184792944854,0.008214460669902618,0.025615039246358634
1,AR0600300,"North Little Rock, AR",property,-0.041662474767637785,-0.02825227352363489,0.027228684162868902
2,AR0600300,"North Little Rock, AR",property,-0.10291650859507968,-0.10874959032439276,0.027269385131475605
3,AR0600300,"North Little Rock, AR",property,-0.09326987579027994,-0.1180280551480915,0.027294146411943127
4,AR0600300,"North Little Rock, AR",property,-0.03762119237774474,-0.06839268576753475,0.027315697512120526
5,AR0600300,"North Little Rock, AR",property,0.0026283828617202076,-0.012450202956451809,0.02729414641194313
6,AR0600300,"North Little Rock, AR",property,0.02676715532573615,0.03804212689208222,0.027269385131475605
7,AR0600300,"North Little Rock, AR",property,0.05697270444947651,0.07880105282003293,0.027228684162868895
8,AR0600300,"North Little Rock, AR",property,0.06947439815823744,0.07717063948912502,0.027269385131475605
9,AR0600300,"North Little Rock, AR",property,0.04451753567159898,0.035900325016425726,0.02729414641194313
10,AR0600300,"North Little Rock, AR",property,0.022310962695906014,0.0178439064711367,0.027315697512120526
11,AR0600300,"North Little Rock, AR",property,0.030813727575121998,0.044029153791719525,0.027294146411943127
12,AR0600300,"North Little Rock, AR",property,0.021985184792944854,0.04408560323958362,0.027269385131475605
1,AR0660100,"Fort Smith, AR",property,-0.041662474767637785,-0.09020836751703654,0.026493176514632802
2,AR0660100,"Fort Smith, AR",property,-0.10291650859507968,-0.14952939961326744,0.026521541892297336
3,AR0660100,"Fort Smith, AR",property,-0.09326987579027994,-0.10102956609344632,0.026540819051811552
4,AR0660100,"Fort Smith, AR",property,-0.03762119237774474,-0.020472447639465388,0.026532612463931547
5,AR0660100,"Fort Smith, AR",property,0.0026283828617202076,0.018742252427790373,0.026540819051811555
6,AR0660100,"Fort Smith, AR",property,0.02676715532573615,0.04086050938419904,0.026521541892297336
7,AR0660100,"Fort Smith, AR",property,0.05697270444947651,0.07084365308071129,0.0264931765146328
8,AR0660100,"Fort Smith, AR",property,0.06947439815823744,0.07299217930769879,0.026521541892297336
9,AR0660100,"Fort Smith, AR",property,0.04451753567159898,0.04385706022420292,0.02654081905181156
10,AR0660100,"Fort Smith, AR",property,0.022310962695906014,0.03983716207579063,0.026532612463931547
11,AR0660100,"Fort Smith, AR",property,0.030813727575121998,0.05779496787777823,0.026540819051811552
12,AR0660100,"Fort Smith, AR",property,0.021985184792944854,0.01631199648504444,0.026521541892297332
1,AR0720100,"Fayetteville, AR",property,-0.041662474767637785,-0.06524026175454205,0.02679338491695278
2,AR0720100,"Fayetteville, AR",property,-0.10291650859507968,-0.14288924032749634,0.026824539482514516
3,AR0720100,"Fayetteville, AR",property,-0.09326987579027994,-0.12439611973729586,0.0268417287062669
4,AR0720100,"Fayetteville, AR",property,-0.03762119237774474,-0.03816831707605184,0.02684019244453239
5,AR0720100,"Fayetteville, AR",property,0.0026283828617202076,0.018882675866040408,0.026841728706266905
6,AR0720100,"Fayetteville, AR",property,0.02676715532573615,0.029637371481729225,0.026824539482514516
7,AR0720100,"Fayetteville, AR",property,0.05697270444947651,0.04656981631378235,0.026793384916952778
8,AR0720100,"Fayetteville, AR",property,0.06947439815823744,0.07380955289588044,0.026824539482514516
9,AR0720100,"Fayetteville, AR",property,0.04451753567159898,0.07398687774643968,0.026841728706266908
10,AR0720100,"Fayetteville, AR",property,0.022310962695906014,0.05683876251681155,0.02684019244453239
11,AR0720100,"Fayetteville, AR",property,0.030813727575121998,0.05019701156557543,0.0268417287062669
12,AR0720100,"Fayetteville, AR",property,0.021985184792944854,0.020771870509127013,0.026824539482514516
1,AZ0070100,"Avondale, AZ",property,-0.041662474767637785,0.020687068921749263,0.02718761129580126
2,AZ0070100,"Avondale, AZ",property,-0.10291650859507968,-0.04312046282549361,0.027221554344588724
3,AZ0070100,"Avondale, AZ",property,-0.09326987579027994,-0.046006870360591874,0.027228939375174448
4,AZ0070100,"Avondale, AZ",property,-0.03762119237774474,-0.004911963330154507,0.027241573184383902
5,AZ0070100,"Avondale, AZ",property,0.0026283828617202076,-0.0036995302650545694,0.02722893937517445
6,AZ0070100,"Avondale, AZ",property,0.02676715532573615,-0.03266323059337451,0.027221554344588724
7,AZ0070100,"Avondale, AZ",property,0.05697270444947651,-0.019358223271182314,0.027187611295801255
8,AZ0070100,"Avondale, AZ",property,0.06947439815823744,0.022132823435846577,0.027221554344588724
9,AZ0070100,"Avondale, AZ",property,0.04451753567159898,0.023690385320377923,0.02722893937517445
10,AZ0070100,"Avondale, AZ",property,0.022310962695906014,0.0035831176795875796,0.027241573184383902
11,AZ0070100,"Avondale, AZ",property,0.030813727575121998,0.024687169654701593,0.027228939375174448
12,AZ0070100,"Avondale, AZ",property,0.021985184792944854,0.05497971563358846,0.027221554344588724
1,AZ0070300,"Buckeye, AZ",property,-0.041662474767637785,0.012799236791414814,0.029668961066715342
2,AZ0070300,"Buckeye, AZ",property,-0.10291650859507968,-0.05994514622186635,0.0296817812991936
3,AZ0070300,"Buckeye, AZ",property,-0.09326987579027994,-0.08950237169930274,0.02978042254416466
4,AZ0070300,"Buckeye, AZ",property,-0.03762119237774474,-0.04749489344741196,0.02971579647407721
5,AZ0070300,"Buckeye, AZ",property,0.0026283828617202076,0.001800559985473832,0.029780422544164662
6,AZ0070300,"Buckeye, AZ",property,0.02676715532573615,0.027570852568142904,0.0296817812991936
7,AZ0070300,"Buckeye, AZ",property,0.05697270444947651,0.0542450530363365,0.02966896106671534
8,AZ0070300,"Buckeye, AZ",property,0.06947439815823744,0.06774037675355674,0.0296817812991936
9,AZ0070300,"Buckeye, AZ",property,0.04451753567159898,0.030253312403241854,0.029780422544164662
10,AZ0070300,"Buckeye, AZ",property,0.022310962695906014,-0.01954939638033935,0.02971579647407721
11,AZ0070300,"Buckeye, AZ",property,0.030813727575121998,-0.009595790517164249,0.02978042254416466
12,AZ0070300,"Buckeye, AZ",property,0.021985184792944854,0.031678206727918,0.0296817812991936
1,AZ0070500,"Chandler, AZ",property,-0.041662474767637785,0.015148891750342239,0.02633041578929727
2,AZ0070500,"Chandler, AZ",property,-0.10291650859507968,-0.03551249813936834,0.026354595968488412
3,AZ0070500,"Chandler, AZ",property,-0.09326987579027994,-0.04308619273481837,0.026370845395058164
