month,city_id,city_label,crime_type,global_season_centered,city_season_centered,city_season_se
1,AL0011200,"Hoover, AL",rape,-0.04387138027246358,-0.028906030467572355,0.04071482062300503
2,AL0011200,"Hoover, AL",rape,-0.036816055652062446,-0.02867698889820977,0.04072039758721142
3,AL0011200,"Hoover, AL",rape,-0.03844243170372693,-0.046250350075704466,0.04071418012487652
4,AL0011200,"Hoover, AL",rape,9.843442890189009e-4,-0.010710153808563602,0.04071586623498724
5,AL0011200,"Hoover, AL",rape,0.04975363918948855,0.04567075051417846,0.04071418012487653
6,AL0011200,"Hoover, AL",rape,0.0540459096652648,0.051016933587230424,0.04072039758721142
7,AL0011200,"Hoover, AL",rape,0.04279756554542923,0.03416122024569475,0.04071482062300502
8,AL0011200,"Hoover, AL",rape,0.06016748517053278,0.05446476383026157,0.04072039758721142
9,AL0011200,"Hoover, AL",rape,0.06286767594923165,0.0667829352296339,0.04071418012487653
10,AL0011200,"Hoover, AL",rape,8.947043801548035e-5,0.005454964030441235,0.04071586623498724
11,AL0011200,"Hoover, AL",rape,-0.07310506870795891,-0.07145852544623027,0.04071418012487652
12,AL0011200,"Hoover, AL",rape,-0.07847115391076953,-0.07154951874115988,0.04072039758721142
1,AR0040100,"Bentonville, AR",rape,-0.04387138027246358,-0.05028578961547592,0.04015613180570384
2,AR0040100,"Bentonville, AR",rape,-0.036816055652062446,-0.04385155268157882,0.04018001949477906
3,AR0040100,"Bentonville, AR",rape,-0.03844243170372693,-0.05104686949829476,0.040160874249079125
4,AR0040100,"Bentonville, AR",rape,9.843442890189009e-4,-0.00779047248266472,0.040173725995047774
5,AR0040100,"Bentonville, AR",rape,0.04975363918948855,0.053481968490563456,0.04016087424907913
6,AR0040100,"Bentonville, AR",rape,0.0540459096652648,0.06125591620567918,0.04018001949477906
7,AR0040100,"Bentonville, AR",rape,0.04279756554542923,0.04374444960862676,0.040156131805703835
8,AR0040100,"Bentonville, AR",rape,0.06016748517053278,0.06313068478831976,0.04018001949477906
9,AR0040100,"Bentonville, AR",rape,0.06286767594923165,0.07686734161188491,0.04016087424907913
10,AR0040100,"Bentonville, AR",rape,8.947043801548035e-5,0.014331812489513918,0.040173725995047774
11,AR0040100,"Bentonville, AR",rape,-0.07310506870795891,-0.07276110059730442,0.040160874249079125
12,AR0040100,"Bentonville, AR",rape,-0.07847115391076953,-0.08707638831926934,0.04018001949477906
1,AR0230100,"Conway, AR",rape,-0.04387138027246358,-0.013822477624402005,0.039193327095917704
2,AR0230100,"Conway, AR",rape,-0.036816055652062446,-0.030326823060801932,0.03917753678924849
3,AR0230100,"Conway, AR",rape,-0.03844243170372693,-0.05201288830850777,0.03915924899828999
4,AR0230100,"Conway, AR",rape,9.843442890189009e-4,-0.011235064430941832,0.039212601778293416
5,AR0230100,"Conway, AR",rape,0.04975363918948855,0.04448353908608954,0.03915924899829
6,AR0230100,"Conway, AR",rape,0.0540459096652648,0.050065034425030665,0.03917753678924849
7,AR0230100,"Conway, AR",rape,0.04279756554542923,0.041988003287134465,0.0391933270959177
8,AR0230100,"Conway, AR",rape,0.06016748517053278,0.06225551474131598,0.03917753678924849
9,AR0230100,"Conway, AR",rape,0.06286767594923165,0.05577605432628939,0.03915924899829
10,AR0230100,"Conway, AR",rape,8.947043801548035e-5,-0.016930461231790594,0.039212601778293416
11,AR0230100,"Conway, AR",rape,-0.07310506870795891,-0.0764122307666036,0.03915924899828999
12,AR0230100,"Conway, AR",rape,-0.07847115391076953,-0.053828200442812314,0.03917753678924849
1,AR0600200,"Little Rock, AR",rape,-0.04387138027246358,-0.07227720084806305,0.03519426366592433
2,AR0600200,"Little Rock, AR",rape,-0.036816055652062446,-0.05700318533335089,0.03520584863944468
3,AR0600200,"Little Rock, AR",rape,-0.03844243170372693,-0.03757615434011348,0.03517868137205001
4,AR0600200,"Little Rock, AR",rape,9.843442890189009e-4,0.011390384550272251,0.035195091946486054
5,AR0600200,"Little Rock, AR",rape,0.04975363918948855,0.057631721006282034,0.03517868137205002
6,AR0600200,"Little Rock, AR",rape,0.0540459096652648,0.058201331280064036,0.03520584863944468
7,AR0600200,"Little Rock, AR",rape,0.04279756554542923,0.04288485462865434,0.035194263665924326
8,AR0600200,"Little Rock, AR",rape,0.06016748517053278,0.05710086898234767,0.03520584863944468
9,AR0600200,"Little Rock, AR",rape,0.06286767594923165,0.067066184208519,0.03517868137205002
10,AR0600200,"Little Rock, AR",rape,8.947043801548035e-5,0.018001961669136497,0.035195091946486054
11,AR0600200,"Little Rock, AR",rape,-0.07310506870795891,-0.057729404655278836,0.03517868137205001
12,AR0600200,"Little Rock, AR",rape,-0.07847115391076953,-0.08769136114846955,0.03520584863944468
1,AR0600300,"North Little Rock, AR",rape,-0.04387138027246358,-0.04824744358696057,0.04024977770830706
2,AR0600300,"North Little Rock, AR",rape,-0.036816055652062446,-0.033967006091003185,0.040267973961123
3,AR0600300,"North Little Rock, AR",rape,-0.03844243170372693,-0.035217508455891874,0.04025496508328519
4,AR0600300,"North Little Rock, AR",rape,9.843442890189009e-4,-3.805034491640804e-4,0.04025702994426921
5,AR0600300,"North Little Rock, AR",rape,0.04975363918948855,0.04818948153724152,0.040254965083285195
6,AR0600300,"North Little Rock, AR",rape,0.0540459096652648,0.05824812548128222,0.040267973961123
7,AR0600300,"North Little Rock, AR",rape,0.04279756554542923,0.051121550219343344,0.04024977770830705
8,AR0600300,"North Little Rock, AR",rape,0.06016748517053278,0.06689735256556728,0.040267973961123
9,AR0600300,"North Little Rock, AR",rape,0.06286767594923165,0.06527374829807323,0.040254965083285195
10,AR0600300,"North Little Rock, AR",rape,8.947043801548035e-5,-0.0024936031832186577,0.04025702994426921
11,AR0600300,"North Little Rock, AR",rape,-0.07310506870795891,-0.08111982801180563,0.04025496508328519
12,AR0600300,"North Little Rock, AR",rape,-0.07847115391076953,-0.08830436532346359,0.040267973961123
1,AR0660100,"Fort Smith, AR",rape,-0.04387138027246358,-0.05929423237365754,0.037736265127343016
2,AR0660100,"Fort Smith, AR",rape,-0.036816055652062446,-0.05713221784737106,0.037791167026819096
3,AR0660100,"Fort Smith, AR",rape,-0.03844243170372693,-0.04223144503593338,0.03773056690891947
4,AR0660100,"Fort Smith, AR",rape,9.843442890189009e-4,0.014064432352620008,0.037766995445888976
5,AR0660100,"Fort Smith, AR",rape,0.04975363918948855,0.05934549268761013,0.03773056690891947
6,AR0660100,"Fort Smith, AR",rape,0.0540459096652648,0.054060885910813206,0.037791167026819096
7,AR0660100,"Fort Smith, AR",rape,0.04279756554542923,0.046768141999129924,0.03773626512734301
8,AR0660100,"Fort Smith, AR",rape,0.06016748517053278,0.07142403959051796,0.037791167026819096
9,AR0660100,"Fort Smith, AR",rape,0.06286767594923165,0.06904935715360792,0.037730566908919475
10,AR0660100,"Fort Smith, AR",rape,8.947043801548035e-5,-0.0015383419780923614,0.037766995445888976
11,AR0660100,"Fort Smith, AR",rape,-0.07310506870795891,-0.07363731443075706,0.03773056690891947
12,AR0660100,"Fort Smith, AR",rape,-0.07847115391076953,-0.08087879802848776,0.037791167026819096
1,AR0720100,"Fayetteville, AR",rape,-0.04387138027246358,-0.03518619595853239,0.03857633290463838
2,AR0720100,"Fayetteville, AR",rape,-0.036816055652062446,-0.06350722286652435,0.03853281980048278
3,AR0720100,"Fayetteville, AR",rape,-0.03844243170372693,-0.06221833766667886,0.038586003316897086
4,AR0720100,"Fayetteville, AR",rape,9.843442890189009e-4,0.014421281819750506,0.03862074044465911
5,AR0720100,"Fayetteville, AR",rape,0.04975363918948855,0.06088330088190533,0.038586003316897086
6,AR0720100,"Fayetteville, AR",rape,0.0540459096652648,0.01932918445631249,0.03853281980048278
7,AR0720100,"Fayetteville, AR",rape,0.04279756554542923,-3.936383777186256e-4,0.038576332904638376
8,AR0720100,"Fayetteville, AR",rape,0.06016748517053278,0.06541174463721179,0.03853281980048278
9,AR0720100,"Fayetteville, AR",rape,0.06286767594923165,0.09970269377361735,0.03858600331689709
10,AR0720100,"Fayetteville, AR",rape,8.947043801548035e-5,0.021158552516500548,0.03862074044465911
11,AR0720100,"Fayetteville, AR",rape,-0.07310506870795891,-0.06278782265259279,0.038586003316897086
12,AR0720100,"Fayetteville, AR",rape,-0.07847115391076953,-0.05681354056325101,0.03853281980048278
1,AZ0070100,"Avondale, AZ",rape,-0.04387138027246358,-0.040778594904337016,0.03980937640157132
2,AZ0070100,"Avondale, AZ",rape,-0.036816055652062446,-0.01571343025332735,0.03985702890934602
3,AZ0070100,"Avondale, AZ",rape,-0.03844243170372693,-0.01853219573741096,0.03985525187324522
4,AZ0070100,"Avondale, AZ",rape,9.843442890189009e-4,0.0038769069520472404,0.03986207326472954
5,AZ0070100,"Avondale, AZ",rape,0.04975363918948855,0.0438079635799672,0.03985525187324523
6,AZ0070100,"Avondale, AZ",rape,0.0540459096652648,0.05368931571190341,0.03985702890934602
7,AZ0070100,"Avondale, AZ",rape,0.04279756554542923,0.04610823934671125,0.03980937640157131
8,AZ0070100,"Avondale, AZ",rape,0.06016748517053278,0.05801745657322811,0.039857028909346025
9,AZ0070100,"Avondale, AZ",rape,0.06286767594923165,0.055506577614937526,0.03985525187324523
10,AZ0070100,"Avondale, AZ",rape,8.947043801548035e-5,-0.009206551394421439,0.03986207326472954
11,AZ0070100,"Avondale, AZ",rape,-0.07310506870795891,-0.08611198989986797,0.03985525187324522
12,AZ0070100,"Avondale, AZ",rape,-0.07847115391076953,-0.09066369758942999,0.03985702890934602
1,AZ0070300,"Buckeye, AZ",rape,-0.04387138027246358,-0.04856945952065058,0.039371476697599606
2,AZ0070300,"Buckeye, AZ",rape,-0.036816055652062446,-0.046375204614822155,0.03937402348977747
3,AZ0070300,"Buckeye, AZ",rape,-0.03844243170372693,-0.04618753971331991,0.0393588083340291
4,AZ0070300,"Buckeye, AZ",rape,9.843442890189009e-4,0.011085556022003132,0.039343875202116504
5,AZ0070300,"Buckeye, AZ",rape,0.04975363918948855,0.07122364242921676,0.0393588083340291
6,AZ0070300,"Buckeye, AZ",rape,0.0540459096652648,0.0679737963847993,0.03937402348977747
7,AZ0070300,"Buckeye, AZ",rape,0.04279756554542923,0.04967840409755741,0.0393714766975996
8,AZ0070300,"Buckeye, AZ",rape,0.06016748517053278,0.07097277070588703,0.03937402348977747
9,AZ0070300,"Buckeye, AZ",rape,0.06286767594923165,0.06967616122747801,0.039358808334029105
10,AZ0070300,"Buckeye, AZ",rape,8.947043801548035e-5,-0.012194500598909922,0.039343875202116504
11,AZ0070300,"Buckeye, AZ",rape,-0.07310506870795891,-0.09582120852028167,0.0393588083340291
12,AZ0070300,"Buckeye, AZ",rape,-0.07847115391076953,-0.09146241789895743,0.03937402348977746
1,AZ0070500,"Chandler, AZ",rape,-0.04387138027246358,-0.062258403185158316,0.03735486543922651
2,AZ0070500,"Chandler, AZ",rape,-0.036816055652062446,-0.041431868615831334,0.037345103808873424
3,AZ0070500,"Chandler, AZ",rape,-0.03844243170372693,-0.009324499007502809,0.03737818599510632
4,AZ0070500,"Chandler, AZ",rape,9.843442890189009e-4,0.012705342732165305,0.037333006032756015
5,AZ0070500,"Chandler, AZ",rape,0.04975363918948855,0.0156633751708182,0.037378185995106325
6,AZ0070500,"Chandler, AZ",rape,0.0540459096652648,0.023273819514309235,0.037345103808873424
7,AZ0070500,"Chandler, AZ",rape,0.04279756554542923,0.05207709014947694,0.0373548654392265
8,AZ0070500,"Chandler, AZ",rape,0.06016748517053278,0.0735651695762187,0.037345103808873424
9,AZ0070500,"Chandler, AZ",rape,0.06286767594923165,0.05163911300357158,0.037378185995106325
10,AZ0070500,"Chandler, AZ",rape,8.947043801548035e-5,-0.0025240296964839128,0.037333006032756015
11,AZ0070500,"Chandler, AZ",rape,-0.07310506870795891,-0.04779667613120559,0.03737818599510632
12,AZ0070500,"Chandler, AZ",rape,-0.07847115391076953,-0.06558843351037798,0.037345103808873424
1,AZ0071100,"Gilbert, AZ",rape,-0.04387138027246358,-0.023194897609353764,0.03828121179986581
2,AZ0071100,"Gilbert, AZ",rape,-0.036816055652062446,-0.032498263687007076,0.038374101611103266
3,AZ0071100,"Gilbert, AZ",rape,-0.03844243170372693,-0.05376856182976025,0.03836639579175021
