date,city_id,city_label,crime_type,global_trend_centered,city_trend_se,city_trend_centered
2017-01-01,AL0011200,"Hoover, AL",assault,-0.08091162317391287,0.10514841024757027,-0.3190047462128245
2017-02-01,AL0011200,"Hoover, AL",assault,-0.08716891767899781,0.0970514480398147,-0.32422506292665965
2017-03-01,AL0011200,"Hoover, AL",assault,-0.09278958653104574,0.09079715860807093,-0.32884973799234984
2017-04-01,AL0011200,"Hoover, AL",assault,-0.09894364763660946,0.0853072591027696,-0.3337696324614381
2017-05-01,AL0011200,"Hoover, AL",assault,-0.1047962833549061,0.08165971757525592,-0.33823134744099725
2017-06-01,AL0011200,"Hoover, AL",assault,-0.11070130117462007,0.07976962564390376,-0.34242649446089324
2017-07-01,AL0011200,"Hoover, AL",assault,-0.11624291970183442,0.07977521891748306,-0.34598311009146165
2017-08-01,AL0011200,"Hoover, AL",assault,-0.1217542119458237,0.08153451815861312,-0.34903246590596737
2017-09-01,AL0011200,"Hoover, AL",assault,-0.12700996750369242,0.08480016386265582,-0.35133817765550823
2017-10-01,AL0011200,"Hoover, AL",assault,-0.1318176825411097,0.08906767467879384,-0.3527590413409154
2017-11-01,AL0011200,"Hoover, AL",assault,-0.1364615031680323,0.09427631824158629,-0.353283945072441
2017-12-01,AL0011200,"Hoover, AL",assault,-0.14060701555136923,0.09978849927845605,-0.352777715309994
2018-01-01,AL0011200,"Hoover, AL",assault,-0.14449421895747427,0.10570178854692669,-0.3511007672673081
2018-02-01,AL0011200,"Hoover, AL",assault,-0.14794146533322738,0.11160850552419824,-0.3481434886410746
2018-03-01,AL0011200,"Hoover, AL",assault,-0.150645873744768,0.11678028755735957,-0.3442814771123981
2018-04-01,AL0011200,"Hoover, AL",assault,-0.1531525491471104,0.12218152641230236,-0.33858701803402447
2018-05-01,AL0011200,"Hoover, AL",assault,-0.15505655907272597,0.12696536924960436,-0.3315577327190109
2018-06-01,AL0011200,"Hoover, AL",assault,-0.1564484692907886,0.13134477023330648,-0.32261916601091833
2018-07-01,AL0011200,"Hoover, AL",assault,-0.1572036666397434,0.1349519357758058,-0.31224669084962997
2018-08-01,AL0011200,"Hoover, AL",assault,-0.15733612938365127,0.13795257493594468,-0.299642972755624
2018-09-01,AL0011200,"Hoover, AL",assault,-0.15677309841108666,0.14015171253190414,-0.28501528001310383
2018-10-01,AL0011200,"Hoover, AL",assault,-0.1555308320165878,0.14146904333823168,-0.26882993281239287
2018-11-01,AL0011200,"Hoover, AL",assault,-0.15349014421465057,0.14195637417089105,-0.24990207187133429
2018-12-01,AL0011200,"Hoover, AL",assault,-0.15076111531277725,0.14157933164962463,-0.2294031493173172
2019-01-01,AL0011200,"Hoover, AL",assault,-0.1471961200575702,0.1403972755946196,-0.2061363259697746
2019-02-01,AL0011200,"Hoover, AL",assault,-0.14292362855010055,0.13852354385991383,-0.18098114084662953
2019-03-01,AL0011200,"Hoover, AL",assault,-0.13849829848254558,0.13633794235710459,-0.15683098285303032
2019-04-01,AL0011200,"Hoover, AL",assault,-0.13301812633573995,0.13348982026743322,-0.12872531776648444
2019-05-01,AL0011200,"Hoover, AL",assault,-0.1271795091475063,0.13042600148250902,-0.10036978120612439
2019-06-01,AL0011200,"Hoover, AL",assault,-0.12064211947284775,0.1270750984444156,-0.07010070311538286
2019-07-01,AL0011200,"Hoover, AL",assault,-0.11387454570711775,0.12378216411419762,-0.040087928784661386
2019-08-01,AL0011200,"Hoover, AL",assault,-0.10647452996681572,0.12046117520448488,-0.008557305639362411
2019-09-01,AL0011200,"Hoover, AL",assault,-0.09871070383548641,0.11735362227541993,0.023268807428532767
2019-10-01,AL0011200,"Hoover, AL",assault,-0.0908982635981257,0.11466351025696077,0.05413023127680283
2019-11-01,AL0011200,"Hoover, AL",assault,-0.08256529360645537,0.11231223506754029,0.08585769511455155
2019-12-01,AL0011200,"Hoover, AL",assault,-0.07429622614725417,0.11052518685630475,0.1161872642483388
2020-01-01,AL0011200,"Hoover, AL",assault,-0.06558870375745762,0.10923020149920658,0.1469142109062993
2020-02-01,AL0011200,"Hoover, AL",assault,-0.056765408414220175,0.10850834241790813,0.17678707487596412
2020-03-01,AL0011200,"Hoover, AL",assault,-0.04845106650165221,0.10833061708046501,0.20375312095129416
2020-04-01,AL0011200,"Hoover, AL",assault,-0.03954646112089577,0.10861665470754316,0.23131124481842136
2020-05-01,AL0011200,"Hoover, AL",assault,-0.030958819241710955,0.10928027078772845,0.2565185764739333
2020-06-01,AL0011200,"Hoover, AL",assault,-0.022164545106369005,0.11025808276487246,0.280828905647418
2020-07-01,AL0011200,"Hoover, AL",assault,-0.013777832559298986,0.1113710863399299,0.30245682246248506
2020-08-01,AL0011200,"Hoover, AL",assault,-0.005288481131582756,0.11256710446569444,0.3226174889926856
2020-09-01,AL0011200,"Hoover, AL",assault,0.0029713362286170053,0.11368354231137354,0.34032368743510766
2020-10-01,AL0011200,"Hoover, AL",assault,0.01069882502298114,0.1145763569734929,0.35490235146945004
2020-11-01,AL0011200,"Hoover, AL",assault,0.018369031662114566,0.1152243383620458,0.3671615356998821
2020-12-01,AL0011200,"Hoover, AL",assault,0.02548147151974689,0.115601851549458,0.376387655457064
2021-01-01,AL0011200,"Hoover, AL",assault,0.03251274943638727,0.11578686636733634,0.38333607211110454
2021-02-01,AL0011200,"Hoover, AL",assault,0.03922304919978714,0.11582849937369503,0.3877994538480465
2021-03-01,AL0011200,"Hoover, AL",assault,0.04501016468473118,0.11580262382734287,0.38981484677115574
2021-04-01,AL0011200,"Hoover, AL",assault,0.05111650282805691,0.11577111829696085,0.38994685822681063
2021-05-01,AL0011200,"Hoover, AL",assault,0.056727158752673645,0.11580166980111774,0.38810548137156253
2021-06-01,AL0011200,"Hoover, AL",assault,0.06221861837022047,0.11595750110340095,0.3843082444680199
2021-07-01,AL0011200,"Hoover, AL",assault,0.06723893167749573,0.11627667162139498,0.37893441621703694
2021-08-01,AL0011200,"Hoover, AL",assault,0.07212522841165026,0.11681658118108419,0.3717660281215114
2021-09-01,AL0011200,"Hoover, AL",assault,0.07670770668128846,0.11758983225895993,0.3630983117960458
2021-10-01,AL0011200,"Hoover, AL",assault,0.08085545082929002,0.1185619191342694,0.35341840038728023
2021-11-01,AL0011200,"Hoover, AL",assault,0.08484741931552264,0.11978120558460331,0.3422212531875921
2021-12-01,AL0011200,"Hoover, AL",assault,0.08842840350009062,0.12113704705901895,0.330363552465327
2022-01-01,AL0011200,"Hoover, AL",assault,0.09183957784529717,0.12267139824400651,0.3171950715586256
2022-02-01,AL0011200,"Hoover, AL",assault,0.09495931784096356,0.12427932041438511,0.3032386450782827
2022-03-01,AL0011200,"Hoover, AL",assault,0.09752874061358696,0.12573488766097893,0.29007547636256703
2022-04-01,AL0011200,"Hoover, AL",assault,0.1001007475187965,0.1272776904971491,0.2750176238352555
2022-05-01,AL0011200,"Hoover, AL",assault,0.10231921252659149,0.12862747195422453,0.26009223370748025
2022-06-01,AL0011200,"Hoover, AL",assault,0.10433447548749442,0.12979443804211702,0.24444456669035297
2022-07-01,AL0011200,"Hoover, AL",assault,0.10601885715033887,0.13062950964466916,0.229218435363018
2022-08-01,AL0011200,"Hoover, AL",assault,0.10748709180931648,0.1311169565311418,0.2135390510232842
2022-09-01,AL0011200,"Hoover, AL",assault,0.10868105180747634,0.13115936691297617,0.19805742779706748
2022-10-01,AL0011200,"Hoover, AL",assault,0.10957849435983746,0.1307437875045589,0.18337737778370666
2022-11-01,AL0011200,"Hoover, AL",assault,0.11024585637476747,0.1298894026936565,0.16854362295435799
2022-12-01,AL0011200,"Hoover, AL",assault,0.11064723081064898,0.12872456948714203,0.1545124512248286
2023-01-01,AL0011200,"Hoover, AL",assault,0.11081684399545999,0.12725734020698193,0.14034769006490322
2023-02-01,AL0011200,"Hoover, AL",assault,0.1107448885452822,0.12561539252811937,0.12652174895686308
2023-03-01,AL0011200,"Hoover, AL",assault,0.1104786454627078,0.12406277348704711,0.11432437477613178
2023-04-01,AL0011200,"Hoover, AL",assault,0.10996812881172424,0.1223553427825535,0.10114112435867639
2023-05-01,AL0011200,"Hoover, AL",assault,0.1092652064174473,0.12079807262141226,0.08870358835079806
2023-06-01,AL0011200,"Hoover, AL",assault,0.10833048481917373,0.11936805330912749,0.07618183660371614
2023-07-01,AL0011200,"Hoover, AL",assault,0.10723141720839635,0.11822295765808483,0.06438299554406335
2023-08-01,AL0011200,"Hoover, AL",assault,0.10590220044331566,0.11733821895404152,0.052519714686281915
2023-09-01,AL0011200,"Hoover, AL",assault,0.10438388821640565,0.1167891248528021,0.04098990623802834
2023-10-01,AL0011200,"Hoover, AL",assault,0.10274173686509869,0.11658658398064116,0.0301488007145867
2023-11-01,AL0011200,"Hoover, AL",assault,0.10087373766489272,0.11670360233861055,0.019272896666144845
2023-12-01,AL0011200,"Hoover, AL",assault,0.09890755526546613,0.11709866896030001,0.009063136796838123
2024-01-01,AL0011200,"Hoover, AL",assault,0.09671957887244709,0.11774306534031506,-0.001161890632863205
2024-02-01,AL0011200,"Hoover, AL",assault,0.09438037680765987,0.11855515714092925,-0.011057305036437981
2024-03-01,AL0011200,"Hoover, AL",assault,0.0920619823532558,0.11939134029685734,-0.020016597332645603
2024-04-01,AL0011200,"Hoover, AL",assault,0.08945188272575422,0.12027949909738013,-0.02927627244396369
2024-05-01,AL0011200,"Hoover, AL",assault,0.08680336003946998,0.12104589886477109,-0.03792559042321564
2024-06-01,AL0011200,"Hoover, AL",assault,0.08394731414756684,0.12165098523285728,-0.04654193355059988
2024-07-01,AL0011200,"Hoover, AL",assault,0.08107515464757853,0.12197469977735517,-0.054570137245919526
2024-08-01,AL0011200,"Hoover, AL",assault,0.07800287227175495,0.12196431077448794,-0.06254617617044467
2024-09-01,AL0011200,"Hoover, AL",assault,0.07483156683595205,0.12155868924835987,-0.07020034870505754
2024-10-01,AL0011200,"Hoover, AL",assault,0.07167307099701858,0.12082551169399841,-0.07731304421090357
2024-11-01,AL0011200,"Hoover, AL",assault,0.06832126096151114,0.11979264886445211,-0.08437306568885639
2024-12-01,AL0011200,"Hoover, AL",assault,0.06499663509307574,0.11862245891065133,-0.09093892564185424
2025-01-01,AL0011200,"Hoover, AL",assault,0.06148199426296941,0.11735856564441449,-0.09746297136724813
2025-02-01,AL0011200,"Hoover, AL",assault,0.057891376494808355,0.11618278033809504,-0.10373693051257504
2025-03-01,AL0011200,"Hoover, AL",assault,0.054586730799007555,0.11533109268779175,-0.10920127494006415
2025-04-01,AL0011200,"Hoover, AL",assault,0.050864122337447526,0.1147804437089411,-0.11504077197151652
2025-05-01,AL0011200,"Hoover, AL",assault,0.0472018285942859,0.11480090060614051,-0.12049516038918817
2025-06-01,AL0011200,"Hoover, AL",assault,0.043360139249132956,0.11555873302345011,-0.12594268938807573
2025-07-01,AL0011200,"Hoover, AL",assault,0.0395911577823842,0.11714480826218497,-0.1310459032439617
2025-08-01,AL0011200,"Hoover, AL",assault,0.03564806135874399,0.11978015724627213,-0.13615963951438914
2025-09-01,AL0011200,"Hoover, AL",assault,0.03166020332818853,0.12350476799959705,-0.14112603795469703
2025-10-01,AL0011200,"Hoover, AL",assault,0.02776266615375178,0.1281769063640821,-0.14580609633594577
2025-11-01,AL0011200,"Hoover, AL",assault,0.023700056619626153,0.134097189236255,-0.15052644185070285
2025-12-01,AL0011200,"Hoover, AL",assault,0.01973873112162572,0.14083901986748576,-0.15499653383824352
2026-01-01,AL0011200,"Hoover, AL",assault,0.015619043889037343,0.14877837704436614,-0.1595290017315527
2026-02-01,AL0011200,"Hoover, AL",assault,0.011477123095119168,0.1576138848595121,-0.16398828537371735
