date,city_id,city_label,crime_type,global_trend_centered,city_trend_se,city_trend_centered
2017-01-01,AL0011200,"Hoover, AL",violent,0.012514932679401625,0.08015581883636645,-0.05491199255079593
2017-02-01,AL0011200,"Hoover, AL",violent,0.007141713943514816,0.07414568004937523,-0.0545707056657907
2017-03-01,AL0011200,"Hoover, AL",violent,0.0023076950074845115,0.06953426957441447,-0.0542281731520724
2017-04-01,AL0011200,"Hoover, AL",violent,-0.0030017161297024586,0.06552683453775736,-0.053773049644382453
2017-05-01,AL0011200,"Hoover, AL",violent,-0.008076249908230082,0.06291260171228914,-0.05321913052530647
2017-06-01,AL0011200,"Hoover, AL",violent,-0.013231729719741736,0.0616247800847986,-0.052489384204701395
2017-07-01,AL0011200,"Hoover, AL",violent,-0.018114026681411488,0.061747742594227974,-0.05159250295521112
2017-08-01,AL0011200,"Hoover, AL",violent,-0.023026148397091717,0.063175233154981,-0.05042859104466402
2017-09-01,AL0011200,"Hoover, AL",violent,-0.027780325277124263,0.06571527708644691,-0.04898289597619865
2017-10-01,AL0011200,"Hoover, AL",violent,-0.03220900335596788,0.06898929752442533,-0.04727673115141329
2017-11-01,AL0011200,"Hoover, AL",violent,-0.036584948978624965,0.07296031041543966,-0.04515624859978651
2017-12-01,AL0011200,"Hoover, AL",violent,-0.040604325790580376,0.07714930579416934,-0.04271986551208862
2018-01-01,AL0011200,"Hoover, AL",violent,-0.04451261338570944,0.0816356434899384,-0.03976505270027353
2018-02-01,AL0011200,"Hoover, AL",violent,-0.04814896765530641,0.08611314162164194,-0.03632509435713338
2018-03-01,AL0011200,"Hoover, AL",violent,-0.05118047328891606,0.09003204711712791,-0.032766768883442765
2018-04-01,AL0011200,"Hoover, AL",violent,-0.054235469437031725,0.09412433682421151,-0.028289632422518807
2018-05-01,AL0011200,"Hoover, AL",violent,-0.05686939454469986,0.09774902132597632,-0.02338151953895995
2018-06-01,AL0011200,"Hoover, AL",violent,-0.059235364758837505,0.10106784513620468,-0.017675119058321087
2018-07-01,AL0011200,"Hoover, AL",violent,-0.06115921955774439,0.10380225549063576,-0.011500197715186289
2018-08-01,AL0011200,"Hoover, AL",violent,-0.06274673706775147,0.10607791866960961,-0.004404990437809175
2018-09-01,AL0011200,"Hoover, AL",violent,-0.06390437641657876,0.10774699863238887,0.0034571455288130437
2018-10-01,AL0011200,"Hoover, AL",violent,-0.06459361755798376,0.10874837983625596,0.011834692451877515
2018-11-01,AL0011200,"Hoover, AL",violent,-0.06483793104113644,0.10912130637154926,0.021326257108459146
2018-12-01,AL0011200,"Hoover, AL",violent,-0.06460748719968556,0.10883910762791743,0.03133564230818209
2019-01-01,AL0011200,"Hoover, AL",violent,-0.06390422633002935,0.1079461505973239,0.0424515546990758
2019-02-01,AL0011200,"Hoover, AL",violent,-0.06275414621268993,0.10652716109935521,0.05424821841133998
2019-03-01,AL0011200,"Hoover, AL",violent,-0.06135312603920973,0.10486917658327437,0.06540027027033268
2019-04-01,AL0011200,"Hoover, AL",violent,-0.05942509680204289,0.10270491657346983,0.07819987477901691
2019-05-01,AL0011200,"Hoover, AL",violent,-0.05720605055742922,0.10037204321678413,0.090942996643113
2019-06-01,AL0011200,"Hoover, AL",violent,-0.05457357397025753,0.09781416196762288,0.10437606776373798
2019-07-01,AL0011200,"Hoover, AL",violent,-0.05172193552008686,0.09529235398441817,0.11753373955203728
2019-08-01,AL0011200,"Hoover, AL",violent,-0.04848654905810612,0.09273797733555254,0.13119008057073422
2019-09-01,AL0011200,"Hoover, AL",violent,-0.04498367801304859,0.09033315672769587,0.14480268680396513
2019-10-01,AL0011200,"Hoover, AL",violent,-0.041363821613563445,0.08823350350958406,0.15783475192432306
2019-11-01,AL0011200,"Hoover, AL",violent,-0.03741117918088044,0.08637476787941868,0.17105197071667533
2019-12-01,AL0011200,"Hoover, AL",violent,-0.03340519118459717,0.0849329396259278,0.18350292054882544
2020-01-01,AL0011200,"Hoover, AL",violent,-0.02910431483948983,0.08384874012604931,0.19591455518642853
2020-02-01,AL0011200,"Hoover, AL",violent,-0.024665379400383713,0.08318863881332426,0.20775959478221395
2020-03-01,AL0011200,"Hoover, AL",violent,-0.020411070774512652,0.08294179017374338,0.21823365103557002
2020-04-01,AL0011200,"Hoover, AL",violent,-0.015779419565280506,0.08303542341027115,0.22868110450786006
2020-05-01,AL0011200,"Hoover, AL",violent,-0.011238751178918704,0.0834196784272706,0.23795705749002138
2020-06-01,AL0011200,"Hoover, AL",violent,-0.006511877470870786,0.0840423842574968,0.24657679729103243
2020-07-01,AL0011200,"Hoover, AL",violent,-0.0019281893155884688,0.0847788087198366,0.25388551282653715
2020-08-01,AL0011200,"Hoover, AL",violent,0.00279236941607941,0.08558531492055724,0.2602673422424058
2020-09-01,AL0011200,"Hoover, AL",violent,0.007470806658908202,0.0863451890364536,0.2653546731223173
2020-10-01,AL0011200,"Hoover, AL",violent,0.011933521547597081,0.08695388307817534,0.2689455780862957
2020-11-01,AL0011200,"Hoover, AL",violent,0.01645547335601627,0.08739324046266887,0.2712043676070941
2020-12-01,AL0011200,"Hoover, AL",violent,0.02073439312568759,0.0876488738964321,0.2720178795931414
2021-01-01,AL0011200,"Hoover, AL",violent,0.02504735164242078,0.08777935720909792,0.2715009055925428
2021-02-01,AL0011200,"Hoover, AL",violent,0.029241613248757403,0.08782459621469937,0.2696656229115604
2021-03-01,AL0011200,"Hoover, AL",violent,0.03292095624916058,0.08783825072747616,0.2669265873948721
2021-04-01,AL0011200,"Hoover, AL",violent,0.036866061513617154,0.08787466101757885,0.26275416148423325
2021-05-01,AL0011200,"Hoover, AL",violent,0.040547714174753224,0.08797925271984434,0.2576324773582801
2021-06-01,AL0011200,"Hoover, AL",violent,0.04420316721114226,0.08820409944062363,0.2512806468243163
2021-07-01,AL0011200,"Hoover, AL",violent,0.04758874477722763,0.08856903712273521,0.2441664323518733
2021-08-01,AL0011200,"Hoover, AL",violent,0.05092196151191075,0.0891226399687355,0.23587611039181766
2021-09-01,AL0011200,"Hoover, AL",violent,0.05407893160979249,0.08986666111016788,0.22669297868506
2021-10-01,AL0011200,"Hoover, AL",violent,0.05695832736779316,0.09076488007005366,0.21701460718774435
2021-11-01,AL0011200,"Hoover, AL",violent,0.05974391797094292,0.09185997796542476,0.20625632854908638
2021-12-01,AL0011200,"Hoover, AL",violent,0.062248147730667114,0.09305255071924412,0.1951701922131086
2022-01-01,AL0011200,"Hoover, AL",violent,0.06462977476544474,0.09438095961466188,0.18307767983978174
2022-02-01,AL0011200,"Hoover, AL",violent,0.06679362163446001,0.09575607101974072,0.17039943949735914
2022-03-01,AL0011200,"Hoover, AL",violent,0.06855387747468988,0.09698990631535404,0.1584964335513206
2022-04-01,AL0011200,"Hoover, AL",violent,0.07027999019322628,0.09828946942401239,0.14487531649427332
2022-05-01,AL0011200,"Hoover, AL",violent,0.07171989025668957,0.09942218913870794,0.13130725212343997
2022-06-01,AL0011200,"Hoover, AL",violent,0.07296138047047229,0.1004016400645532,0.11694826022979754
2022-07-01,AL0011200,"Hoover, AL",violent,0.07391652452596098,0.10110785730610315,0.1027826943383392
2022-08-01,AL0011200,"Hoover, AL",violent,0.07464080816135166,0.10153348533976603,0.0879267408053348
2022-09-01,AL0011200,"Hoover, AL",violent,0.07508976190457695,0.10160218576455683,0.0729105582369165
2022-10-01,AL0011200,"Hoover, AL",violent,0.07525627429601656,0.1013051705561976,0.058281388553343305
2022-11-01,AL0011200,"Hoover, AL",violent,0.07515456624605577,0.10066179343643511,0.04310622333452052
2022-12-01,AL0011200,"Hoover, AL",violent,0.07479642323472113,0.09977298048487,0.02840094985442221
2023-01-01,AL0011200,"Hoover, AL",violent,0.07416342617035987,0.09864842634102533,0.013223707428709375
2023-02-01,AL0011200,"Hoover, AL",violent,0.07326874962567054,0.09738890798500266,-0.001895907808165731
2023-03-01,AL0011200,"Hoover, AL",violent,0.07224039934273385,0.09619948228841678,-0.015469907587984721
2023-04-01,AL0011200,"Hoover, AL",violent,0.07086317799092079,0.09489556038453219,-0.030370586587967097
2023-05-01,AL0011200,"Hoover, AL",violent,0.06929667081394086,0.09371269524216434,-0.044626816226285726
2023-06-01,AL0011200,"Hoover, AL",violent,0.0674419011090972,0.09263570180914187,-0.05915052093116202
2023-07-01,AL0011200,"Hoover, AL",violent,0.06542375510834297,0.09178520141949094,-0.0729678431391978
2023-08-01,AL0011200,"Hoover, AL",violent,0.06311314685406799,0.0911445204617364,-0.08696144678326156
2023-09-01,AL0011200,"Hoover, AL",violent,0.06057920279838136,0.090770201420521,-0.10062697198768866
2023-10-01,AL0011200,"Hoover, AL",violent,0.05791963451678761,0.09066758046972094,-0.11350205018594117
2023-11-01,AL0011200,"Hoover, AL",violent,0.05496259456627861,0.09081771295401823,-0.12640652904357097
2023-12-01,AL0011200,"Hoover, AL",violent,0.05190408338821051,0.09118272168632358,-0.13847101718087096
2024-01-01,AL0011200,"Hoover, AL",violent,0.0485456573464802,0.09174215434475123,-0.150461322925997
2024-02-01,AL0011200,"Hoover, AL",violent,0.04499156806406823,0.09242858661634873,-0.16192836607407024
2024-03-01,AL0011200,"Hoover, AL",violent,0.0414946063369932,0.09312543113495124,-0.1721468543704372
