date,city_id,crime_type,overdispersion_logit_se
2017-01-01,AL0011200,robbery,0.12238217744720421
2017-02-01,AL0011200,robbery,0.12274889618922143
2017-03-01,AL0011200,robbery,0.12289768859580523
2017-04-01,AL0011200,robbery,0.12278444812457998
2017-05-01,AL0011200,robbery,0.12255716514616054
2017-06-01,AL0011200,robbery,0.12248869536895934
2017-07-01,AL0011200,robbery,0.12229436845495768
2017-08-01,AL0011200,robbery,0.12237850125204752
2017-09-01,AL0011200,robbery,0.12248984573169149
2017-10-01,AL0011200,robbery,0.12245110644001773
2017-11-01,AL0011200,robbery,0.12248708930808315
2017-12-01,AL0011200,robbery,0.1222809483308406
2018-01-01,AL0011200,robbery,0.12237027676285693
2018-02-01,AL0011200,robbery,0.12285571699697465
2018-03-01,AL0011200,robbery,0.12293891136189701
2018-04-01,AL0011200,robbery,0.1229067983535024
2018-05-01,AL0011200,robbery,0.12263901720027079
2018-06-01,AL0011200,robbery,0.1224798690082754
2018-07-01,AL0011200,robbery,0.12245999891495628
2018-08-01,AL0011200,robbery,0.1225480985961962
2018-09-01,AL0011200,robbery,0.1227132235757759
2018-10-01,AL0011200,robbery,0.12261073592281642
2018-11-01,AL0011200,robbery,0.12256585313515997
2018-12-01,AL0011200,robbery,0.12237723548160612
2019-01-01,AL0011200,robbery,0.12253140660016962
2019-02-01,AL0011200,robbery,0.12286573798354686
2019-03-01,AL0011200,robbery,0.1229073926865356
2019-04-01,AL0011200,robbery,0.12282939427250344
2019-05-01,AL0011200,robbery,0.12253090514618313
2019-06-01,AL0011200,robbery,0.12257827754816542
2019-07-01,AL0011200,robbery,0.12227336489892766
2019-08-01,AL0011200,robbery,0.12243552251767623
2019-09-01,AL0011200,robbery,0.12264007289318073
2019-10-01,AL0011200,robbery,0.12255089967421913
2019-11-01,AL0011200,robbery,0.12260383259996198
2019-12-01,AL0011200,robbery,0.12241475405107964
2020-01-01,AL0011200,robbery,0.12242512271357046
2020-02-01,AL0011200,robbery,0.12276176627692474
2020-03-01,AL0011200,robbery,0.12283667749050153
2020-04-01,AL0011200,robbery,0.12314392662675783
2020-05-01,AL0011200,robbery,0.12297487258627762
2020-06-01,AL0011200,robbery,0.12272987613659561
2020-07-01,AL0011200,robbery,0.12279929820885657
2020-08-01,AL0011200,robbery,0.12283258201177691
2020-09-01,AL0011200,robbery,0.1229543388347753
2020-10-01,AL0011200,robbery,0.12275666242987371
2020-11-01,AL0011200,robbery,0.12278744151806215
2020-12-01,AL0011200,robbery,0.12271152777616498
2021-01-01,AL0011200,robbery,0.12284350266901034
2021-02-01,AL0011200,robbery,0.12317328696332294
2021-03-01,AL0011200,robbery,0.12325112283794838
2021-04-01,AL0011200,robbery,0.1233309638681411
2021-05-01,AL0011200,robbery,0.12305872630475848
2021-06-01,AL0011200,robbery,0.12307703278263454
2021-07-01,AL0011200,robbery,0.12300578866996564
2021-08-01,AL0011200,robbery,0.12302783222307881
2021-09-01,AL0011200,robbery,0.12314839288540512
2021-10-01,AL0011200,robbery,0.12303832396627097
2021-11-01,AL0011200,robbery,0.12309310043636122
2021-12-01,AL0011200,robbery,0.1229965661117464
2022-01-01,AL0011200,robbery,0.12305481672453306
2022-02-01,AL0011200,robbery,0.1232988520200729
2022-03-01,AL0011200,robbery,0.12335493929041572
2022-04-01,AL0011200,robbery,0.12336193957814809
2022-05-01,AL0011200,robbery,0.12326526121525012
2022-06-01,AL0011200,robbery,0.12322281316409653
2022-07-01,AL0011200,robbery,0.12317662332517004
2022-08-01,AL0011200,robbery,0.12332550388969184
2022-09-01,AL0011200,robbery,0.12338562083540361
2022-10-01,AL0011200,robbery,0.12340129966302679
2022-11-01,AL0011200,robbery,0.1234700879331655
2022-12-01,AL0011200,robbery,0.12344807944717434
2023-01-01,AL0011200,robbery,0.12341472431244634
2023-02-01,AL0011200,robbery,0.12358995871378008
2023-03-01,AL0011200,robbery,0.12358049305689214
2023-04-01,AL0011200,robbery,0.12360038366824797
2023-05-01,AL0011200,robbery,0.12346850286249597
2023-06-01,AL0011200,robbery,0.12344644764030482
2023-07-01,AL0011200,robbery,0.12337506118581117
2023-08-01,AL0011200,robbery,0.12348575133155557
2023-09-01,AL0011200,robbery,0.12354744522848057
2023-10-01,AL0011200,robbery,0.1235468841777244
2023-11-01,AL0011200,robbery,0.12356410754387327
2023-12-01,AL0011200,robbery,0.12348274298683888
2024-01-01,AL0011200,robbery,0.12357932377675096
2024-02-01,AL0011200,robbery,0.12366649200661471
2024-03-01,AL0011200,robbery,0.12374808104191841
2024-04-01,AL0011200,robbery,0.12374223397885999
2024-05-01,AL0011200,robbery,0.12364902727280384
2024-06-01,AL0011200,robbery,0.1235969711349663
2024-07-01,AL0011200,robbery,0.12355743690990303
2024-08-01,AL0011200,robbery,0.12360899126372711
2024-09-01,AL0011200,robbery,0.12366734457947885
2024-10-01,AL0011200,robbery,0.12365446657550345
2024-11-01,AL0011200,robbery,0.12364984762698138
2024-12-01,AL0011200,robbery,0.12366192142854819
2025-01-01,AL0011200,robbery,0.12370795831667816
2025-02-01,AL0011200,robbery,0.12384632685630363
2025-03-01,AL0011200,robbery,0.12381974274939954
2025-04-01,AL0011200,robbery,0.1237990457710944
2025-05-01,AL0011200,robbery,0.12371011036248275
2025-06-01,AL0011200,robbery,0.12372158833573008
2025-07-01,AL0011200,robbery,0.12367940931053364
2025-08-01,AL0011200,robbery,0.12370266290408438
2025-09-01,AL0011200,robbery,0.12376948573347003
2025-10-01,AL0011200,robbery,0.12373733586405294
2025-11-01,AL0011200,robbery,0.12378661615051427
2025-12-01,AL0011200,robbery,0.12377161461925222
2026-01-01,AL0011200,robbery,0.12380799271379456
2026-02-01,AL0011200,robbery,0.12387603628962407
2026-03-01,AL0011200,robbery,0.12385203626713129
2026-04-01,AL0011200,robbery,0.12384464087077199
2026-05-01,AL0011200,robbery,0.12377562809012099
2017-01-01,AR0040100,robbery,0.12384603385284007
2017-02-01,AR0040100,robbery,0.1239776773619095
2017-03-01,AR0040100,robbery,0.12397869519315637
2017-04-01,AR0040100,robbery,0.12395235832358859
2017-05-01,AR0040100,robbery,0.12391191626703592
2017-06-01,AR0040100,robbery,0.12391183050647855
2017-07-01,AR0040100,robbery,0.12385922814341456
2017-08-01,AR0040100,robbery,0.12387551166900089
2017-09-01,AR0040100,robbery,0.12389276922961799
2017-10-01,AR0040100,robbery,0.1238309734238614
2017-11-01,AR0040100,robbery,0.12385437421202485
2017-12-01,AR0040100,robbery,0.12387281919902018
2018-01-01,AR0040100,robbery,0.12388627529896586
2018-02-01,AR0040100,robbery,0.12402068729579394
2018-03-01,AR0040100,robbery,0.1240069754961263
2018-04-01,AR0040100,robbery,0.12400527243546489
2018-05-01,AR0040100,robbery,0.12396652676578422
2018-06-01,AR0040100,robbery,0.12395043727493145
2018-07-01,AR0040100,robbery,0.12392063677717027
2018-08-01,AR0040100,robbery,0.12390122549236156
2018-09-01,AR0040100,robbery,0.12394601913289627
2018-10-01,AR0040100,robbery,0.12391824749415803
2018-11-01,AR0040100,robbery,0.12392724610695606
2018-12-01,AR0040100,robbery,0.1238920235810566
2019-01-01,AR0040100,robbery,0.1239478623134151
2019-02-01,AR0040100,robbery,0.12403993898003451
2019-03-01,AR0040100,robbery,0.12402276330317077
2019-04-01,AR0040100,robbery,0.12399939169280856
2019-05-01,AR0040100,robbery,0.12394474932022999
2019-06-01,AR0040100,robbery,0.1239616907909068
2019-07-01,AR0040100,robbery,0.12390252426396449
2019-08-01,AR0040100,robbery,0.12389644749454296
2019-09-01,AR0040100,robbery,0.12393245390509247
2019-10-01,AR0040100,robbery,0.12388704605628191
2019-11-01,AR0040100,robbery,0.123939706030155
2019-12-01,AR0040100,robbery,0.12391260948383671
2020-01-01,AR0040100,robbery,0.12391593412412613
2020-02-01,AR0040100,robbery,0.12400949483536107
2020-03-01,AR0040100,robbery,0.12402076996860904
2020-04-01,AR0040100,robbery,0.12408914339506598
2020-05-01,AR0040100,robbery,0.12406783078631223
2020-06-01,AR0040100,robbery,0.12403185942889704
2020-07-01,AR0040100,robbery,0.12402135881758718
2020-08-01,AR0040100,robbery,0.12400841099110352
2020-09-01,AR0040100,robbery,0.12403221109631796
2020-10-01,AR0040100,robbery,0.12398436541707496
2020-11-01,AR0040100,robbery,0.12401326177814058
2020-12-01,AR0040100,robbery,0.1240113586308693
2021-01-01,AR0040100,robbery,0.1240575020346768
2021-02-01,AR0040100,robbery,0.12413038757304715
2021-03-01,AR0040100,robbery,0.1241513176504595
2021-04-01,AR0040100,robbery,0.12416653238876518
2021-05-01,AR0040100,robbery,0.1241201994971436
2021-06-01,AR0040100,robbery,0.12413386326273092
2021-07-01,AR0040100,robbery,0.12410208562290301
2021-08-01,AR0040100,robbery,0.12412228112454061
2021-09-01,AR0040100,robbery,0.12411958910411458
2021-10-01,AR0040100,robbery,0.1240913296216496
2021-11-01,AR0040100,robbery,0.12412302128386739
2021-12-01,AR0040100,robbery,0.12412216236374292
2022-01-01,AR0040100,robbery,0.12413368778514035
2022-02-01,AR0040100,robbery,0.12418532715813665
2022-03-01,AR0040100,robbery,0.12418417013532329
2022-04-01,AR0040100,robbery,0.12419161184530284
2022-05-01,AR0040100,robbery,0.12417739826079673
2022-06-01,AR0040100,robbery,0.12418106159866307
2022-07-01,AR0040100,robbery,0.12416635201580216
2022-08-01,AR0040100,robbery,0.1241847204151511
2022-09-01,AR0040100,robbery,0.12419571699298329
2022-10-01,AR0040100,robbery,0.12419172468094061
2022-11-01,AR0040100,robbery,0.12422180334539326
2022-12-01,AR0040100,robbery,0.12422138200962674
2023-01-01,AR0040100,robbery,0.12421425156111972
2023-02-01,AR0040100,robbery,0.12425344586030011
2023-03-01,AR0040100,robbery,0.12423956136170472
2023-04-01,AR0040100,robbery,0.12424358182062485
2023-05-01,AR0040100,robbery,0.12421865284162292
2023-06-01,AR0040100,robbery,0.12421916109243768
2023-07-01,AR0040100,robbery,0.12419472981812404
2023-08-01,AR0040100,robbery,0.12421278984245955
2023-09-01,AR0040100,robbery,0.12421404248579104
2023-10-01,AR0040100,robbery,0.12420814960300192
2023-11-01,AR0040100,robbery,0.12422125473433693
2023-12-01,AR0040100,robbery,0.12420821176148933
2024-01-01,AR0040100,robbery,0.1242332810773853
2024-02-01,AR0040100,robbery,0.12425508830209199
2024-03-01,AR0040100,robbery,0.12425825643206019
2024-04-01,AR0040100,robbery,0.12425289103818643
2024-05-01,AR0040100,robbery,0.1242286163339869
2024-06-01,AR0040100,robbery,0.12422097079984833
2024-07-01,AR0040100,robbery,0.12420193166126643
2024-08-01,AR0040100,robbery,0.12420816704838526
2024-09-01,AR0040100,robbery,0.12420547496615413
2024-10-01,AR0040100,robbery,0.12419349986847703
2024-11-01,AR0040100,robbery,0.12419875337734884
2024-12-01,AR0040100,robbery,0.124198534762774
2025-01-01,AR0040100,robbery,0.12422898231298336
2025-02-01,AR0040100,robbery,0.1242598320011461
2025-03-01,AR0040100,robbery,0.12424013483708389
2025-04-01,AR0040100,robbery,0.1242230518311898
2025-05-01,AR0040100,robbery,0.1241939597761197
2025-06-01,AR0040100,robbery,0.1242025777382474
2025-07-01,AR0040100,robbery,0.12417858564226995
2025-08-01,AR0040100,robbery,0.12417938775060658
2025-09-01,AR0040100,robbery,0.12418172902538144
2025-10-01,AR0040100,robbery,0.12416308424866788
2025-11-01,AR0040100,robbery,0.12418142609292221
2025-12-01,AR0040100,robbery,0.12418532203735641
2026-01-01,AR0040100,robbery,0.12419526272362003
2026-02-01,AR0040100,robbery,0.12421212771144785
2026-03-01,AR0040100,robbery,0.12417492258316623
2026-04-01,AR0040100,robbery,0.12417223236645168
2026-05-01,AR0040100,robbery,0.12414280014252212
2017-01-01,AR0160100,robbery,0.11937024357338469
2017-02-01,AR0160100,robbery,0.12043287218499245
2017-03-01,AR0160100,robbery,0.12044656994585955
2017-04-01,AR0160100,robbery,0.11987493132554997
2017-05-01,AR0160100,robbery,0.11949622582551957
2017-06-01,AR0160100,robbery,0.11985789177839844
2017-07-01,AR0160100,robbery,0.1198791892557452
2017-08-01,AR0160100,robbery,0.12006463201264198
2017-09-01,AR0160100,robbery,0.11973426913912859
2017-10-01,AR0160100,robbery,0.1197517993865013
2017-11-01,AR0160100,robbery,0.11967444959558421
2017-12-01,AR0160100,robbery,0.11968239510403092
2018-01-01,AR0160100,robbery,0.11970422426567091
2018-02-01,AR0160100,robbery,0.121032310503178
2018-03-01,AR0160100,robbery,0.12086949897112827
2018-04-01,AR0160100,robbery,0.1208032008495022
2018-05-01,AR0160100,robbery,0.12026644513375119
2018-06-01,AR0160100,robbery,0.12047865709291776
2018-07-01,AR0160100,robbery,0.12056144988896261
2018-08-01,AR0160100,robbery,0.12049586989621124
2018-09-01,AR0160100,robbery,0.12042074701563654
2018-10-01,AR0160100,robbery,0.12026137936520562
2018-11-01,AR0160100,robbery,0.12038794356913864
2018-12-01,AR0160100,robbery,0.12000832306441145
2019-01-01,AR0160100,robbery,0.12027680524680881
2019-02-01,AR0160100,robbery,0.12128414409875499
2019-03-01,AR0160100,robbery,0.12120655132058045
2019-04-01,AR0160100,robbery,0.12088818932141181
2019-05-01,AR0160100,robbery,0.120096170460641
2019-06-01,AR0160100,robbery,0.12048771963489538
2019-07-01,AR0160100,robbery,0.12029256016421146
2019-08-01,AR0160100,robbery,0.12004068808126964
2019-09-01,AR0160100,robbery,0.12014609727524603
2019-10-01,AR0160100,robbery,0.1199172712993661
2019-11-01,AR0160100,robbery,0.12022405595485075
2019-12-01,AR0160100,robbery,0.11985141054595198
2020-01-01,AR0160100,robbery,0.11986188800509898
2020-02-01,AR0160100,robbery,0.12078021717685802
2020-03-01,AR0160100,robbery,0.12087321363923786
2020-04-01,AR0160100,robbery,0.12107253577256812
2020-05-01,AR0160100,robbery,0.12070600848306984
2020-06-01,AR0160100,robbery,0.12073970421320068
2020-07-01,AR0160100,robbery,0.12067187182595404
2020-08-01,AR0160100,robbery,0.12079391840377791
2020-09-01,AR0160100,robbery,0.12037418133824752
2020-10-01,AR0160100,robbery,0.12018917815756237
2020-11-01,AR0160100,robbery,0.12017220499272244
2020-12-01,AR0160100,robbery,0.12006708777699883
2021-01-01,AR0160100,robbery,0.12045629134487877
2021-02-01,AR0160100,robbery,0.12140011385585846
2021-03-01,AR0160100,robbery,0.12152728164247566
2021-04-01,AR0160100,robbery,0.12134236597343423
2021-05-01,AR0160100,robbery,0.1206412116270014
2021-06-01,AR0160100,robbery,0.12090149992567788
2021-07-01,AR0160100,robbery,0.12107234966587511
2021-08-01,AR0160100,robbery,0.12099152785030318
2021-09-01,AR0160100,robbery,0.12080277328925375
2021-10-01,AR0160100,robbery,0.12029092701310917
2021-11-01,AR0160100,robbery,0.12065177809065522
2021-12-01,AR0160100,robbery,0.12047377208378372
2022-01-01,AR0160100,robbery,0.12091600341950115
2022-02-01,AR0160100,robbery,0.1213310501009776
2022-03-01,AR0160100,robbery,0.12129644488205972
2022-04-01,AR0160100,robbery,0.12114809475060932
2022-05-01,AR0160100,robbery,0.12095787423568251
2022-06-01,AR0160100,robbery,0.12113488990380328
2022-07-01,AR0160100,robbery,0.121151587960574
2022-08-01,AR0160100,robbery,0.12128116106319918
2022-09-01,AR0160100,robbery,0.12111084969287544
2022-10-01,AR0160100,robbery,0.12119720210015925
2022-11-01,AR0160100,robbery,0.1212764650891968
2022-12-01,AR0160100,robbery,0.12137670804847557
2023-01-01,AR0160100,robbery,0.12126064002276242
2023-02-01,AR0160100,robbery,0.12182765919096576
2023-03-01,AR0160100,robbery,0.12179523913741792
2023-04-01,AR0160100,robbery,0.12144507636244961
2023-05-01,AR0160100,robbery,0.12108984789088556
2023-06-01,AR0160100,robbery,0.12128912387827988
2023-07-01,AR0160100,robbery,0.1212037596038594
2023-08-01,AR0160100,robbery,0.12123456021725332
2023-09-01,AR0160100,robbery,0.12121409254510578
2023-10-01,AR0160100,robbery,0.12116674462314733
2023-11-01,AR0160100,robbery,0.12136253316649377
2023-12-01,AR0160100,robbery,0.12120834473251384
2024-01-01,AR0160100,robbery,0.1212343549809032
2024-02-01,AR0160100,robbery,0.12181601855726033
2024-03-01,AR0160100,robbery,0.12192834770496362
2024-04-01,AR0160100,robbery,0.12164562760598216
2024-05-01,AR0160100,robbery,0.12143520997128747
2024-06-01,AR0160100,robbery,0.12130781078405442
2024-07-01,AR0160100,robbery,0.12134477503400984
2024-08-01,AR0160100,robbery,0.1213683194799149
2024-09-01,AR0160100,robbery,0.12108864769289185
2024-10-01,AR0160100,robbery,0.12112730498910884
2024-11-01,AR0160100,robbery,0.12126136780902788
2024-12-01,AR0160100,robbery,0.1211489211724647
2025-01-01,AR0160100,robbery,0.12158893530222517
2025-02-01,AR0160100,robbery,0.12204978341228677
2025-03-01,AR0160100,robbery,0.1220363217603781
2025-04-01,AR0160100,robbery,0.12171462256442198
2025-05-01,AR0160100,robbery,0.12112089262198761
2025-06-01,AR0160100,robbery,0.12144570257169454
2025-07-01,AR0160100,robbery,0.12167307616857066
2025-08-01,AR0160100,robbery,0.12155305051741089
2025-09-01,AR0160100,robbery,0.12155689296831974
2025-10-01,AR0160100,robbery,0.1215075055537172
2025-11-01,AR0160100,robbery,0.12168477282841426
2025-12-01,AR0160100,robbery,0.12166594877001762
2026-01-01,AR0160100,robbery,0.12181407492192137
2026-02-01,AR0160100,robbery,0.12209571333315151
2026-03-01,AR0160100,robbery,0.12202723805567632
2026-04-01,AR0160100,robbery,0.12168311882813067
2026-05-01,AR0160100,robbery,0.12169365975696637
2017-01-01,AR0230100,robbery,0.12029547025934606
2017-02-01,AR0230100,robbery,0.12109341503181449
2017-03-01,AR0230100,robbery,0.12094281841023852
2017-04-01,AR0230100,robbery,0.12065058948249183
2017-05-01,AR0230100,robbery,0.12076067865543304
2017-06-01,AR0230100,robbery,0.12067513717762521
2017-07-01,AR0230100,robbery,0.12014361911981274
2017-08-01,AR0230100,robbery,0.12043521027083884
2017-09-01,AR0230100,robbery,0.12017103233666537
2017-10-01,AR0230100,robbery,0.11996068726813512
2017-11-01,AR0230100,robbery,0.12013476734291927
2017-12-01,AR0230100,robbery,0.12022216929600335
2018-01-01,AR0230100,robbery,0.12040046755446389
2018-02-01,AR0230100,robbery,0.12105477449042232
2018-03-01,AR0230100,robbery,0.12098092928877609
2018-04-01,AR0230100,robbery,0.12078010919293966
2018-05-01,AR0230100,robbery,0.12076605822165203
2018-06-01,AR0230100,robbery,0.12068157076635808
2018-07-01,AR0230100,robbery,0.12027299402779328
2018-08-01,AR0230100,robbery,0.12048822998684744
2018-09-01,AR0230100,robbery,0.12076977575004166
2018-10-01,AR0230100,robbery,0.12023127525245629
2018-11-01,AR0230100,robbery,0.1204784773547391
2018-12-01,AR0230100,robbery,0.12036972400195531
2019-01-01,AR0230100,robbery,0.12098273405322889
2019-02-01,AR0230100,robbery,0.1213215348848275
2019-03-01,AR0230100,robbery,0.12108379159281256
2019-04-01,AR0230100,robbery,0.1211090831630364
2019-05-01,AR0230100,robbery,0.12100423809524113
2019-06-01,AR0230100,robbery,0.12124751845000507
2019-07-01,AR0230100,robbery,0.12058994578127241
2019-08-01,AR0230100,robbery,0.12065935639922405
2019-09-01,AR0230100,robbery,0.1209115559051523
2019-10-01,AR0230100,robbery,0.12090097754579587
2019-11-01,AR0230100,robbery,0.12122716666177177
2019-12-01,AR0230100,robbery,0.1209359191472325
2020-01-01,AR0230100,robbery,0.12117671369015887
2020-02-01,AR0230100,robbery,0.12165824448006915
2020-03-01,AR0230100,robbery,0.12161856711772955
2020-04-01,AR0230100,robbery,0.12219854945434389
2020-05-01,AR0230100,robbery,0.12201120677803629
2020-06-01,AR0230100,robbery,0.12203329967424911
2020-07-01,AR0230100,robbery,0.12195129563851921
2020-08-01,AR0230100,robbery,0.12187778724407825
2020-09-01,AR0230100,robbery,0.12208284061885133
2020-10-01,AR0230100,robbery,0.12191557309472187
2020-11-01,AR0230100,robbery,0.12205046298509542
2020-12-01,AR0230100,robbery,0.12198799179159217
2021-01-01,AR0230100,robbery,0.12230955486348018
2021-02-01,AR0230100,robbery,0.12255818047298547
2021-03-01,AR0230100,robbery,0.12259088287450576
2021-04-01,AR0230100,robbery,0.12261950985840865
2021-05-01,AR0230100,robbery,0.12247067655505987
2021-06-01,AR0230100,robbery,0.12256334888682985
2021-07-01,AR0230100,robbery,0.12243719358171017
2021-08-01,AR0230100,robbery,0.12238261719944693
2021-09-01,AR0230100,robbery,0.12240908196583289
2021-10-01,AR0230100,robbery,0.1221514443644034
2021-11-01,AR0230100,robbery,0.12242000396596515
2021-12-01,AR0230100,robbery,0.1223538658647859
2022-01-01,AR0230100,robbery,0.12247994149494204
2022-02-01,AR0230100,robbery,0.12270291472784618
2022-03-01,AR0230100,robbery,0.12261037339083979
2022-04-01,AR0230100,robbery,0.12260838186076378
2022-05-01,AR0230100,robbery,0.12258169689326955
2022-06-01,AR0230100,robbery,0.12266926236506122
2022-07-01,AR0230100,robbery,0.12255401663788866
2022-08-01,AR0230100,robbery,0.12254977704422805
2022-09-01,AR0230100,robbery,0.12258986349804436
2022-10-01,AR0230100,robbery,0.1226140263964229
2022-11-01,AR0230100,robbery,0.12277566032596604
2022-12-01,AR0230100,robbery,0.12275873778058206
2023-01-01,AR0230100,robbery,0.12270094721152387
2023-02-01,AR0230100,robbery,0.12281603892897515
2023-03-01,AR0230100,robbery,0.12269137672208866
2023-04-01,AR0230100,robbery,0.122699946292263
2023-05-01,AR0230100,robbery,0.12259424237796314
2023-06-01,AR0230100,robbery,0.1225322874260062
2023-07-01,AR0230100,robbery,0.12233982946387574
2023-08-01,AR0230100,robbery,0.12253210825881385
2023-09-01,AR0230100,robbery,0.12236142263117047
2023-10-01,AR0230100,robbery,0.12249320719682337
2023-11-01,AR0230100,robbery,0.12258106325044212
2023-12-01,AR0230100,robbery,0.12238782916183533
2024-01-01,AR0230100,robbery,0.12258136170236102
2024-02-01,AR0230100,robbery,0.12267500536769312
2024-03-01,AR0230100,robbery,0.12273134728033677
2024-04-01,AR0230100,robbery,0.12264902306427898
