city_id,city_name,city_state,state,latitude,longitude,population
TX2210100,Abilene,"Abilene,TX",TX,32.44645,-99.7475905,125981
PA0460100,Abington,"Abington,PA",PA,40.114354,-75.1216878,59217
ID0010000,Ada,"Ada,ID",ID,,,145483
CO0010000,Adams,"Adams,CO",CO,,,101425
SC0020000,Aiken,"Aiken,SC",SC,,,113812
OH0770100,Akron,"Akron,OH",OH,41.083064,-81.518485,189545
CA0010000,Alameda,"Alameda,CA",CA,37.6090291,-121.899142,139564
CA0010100,Alameda,"Alameda,CA",CA,37.6090291,-121.899142,78978
GA0470100,Albany,"Albany,GA",GA,31.5782062,-84.1556809,66132
NY0010100,Albany,"Albany,NY",NY,42.6511674,-73.754968,102009
OR0220100,Albany,"Albany,OR",OR,44.6365071,-123.1059324,47877
VA0020300,Albemarle,"Albemarle,VA",VA,,,118847
NM0010100,Albuquerque,"Albuquerque,NM",NM,35.0841034,-106.650985,559192
VA0990000,Alexandria,"Alexandria,VA",VA,38.8051095,-77.0470229,159534
CA0190100,Alhambra,"Alhambra,CA",CA,34.093042,-118.12706,79699
CA030490X,Aliso Viejo,"Aliso Viejo,CA",CA,33.5761376,-117.7258122,50736
TX0430100,Allen,"Allen,TX",TX,33.1031744,-96.6705503,115905
PA0390100,Allentown,"Allentown,PA",PA,40.6022552,-75.4716115,127494
GA0600400,Alpharetta,"Alpharetta,GA",GA,34.0755962,-84.2945964,67702
TX1880100,Amarillo,"Amarillo,TX",TX,35.20729,-101.8371192,106561
IA0850100,Ames,"Ames,IA",IA,42.0267567,-93.6170448,69676
CA0300100,Anaheim,"Anaheim,CA",CA,33.8347516,-117.911732,344040
IN0480200,Anderson,"Anderson,IN",IN,40.1053196,-85.6802541,56112
SC0040000,Anderson,"Anderson,SC",SC,,,174915
IA0770100,Ankeny,"Ankeny,IA",IA,41.7320796,-93.605092,78916
MI8121800,Ann Arbor,"Ann Arbor,MI",MI,42.2813722,-83.7484616,122740
CA0070100,Antioch,"Antioch,CA",CA,38.0093296,-121.8106925,119234
NC0920200,Apex,"Apex,NC",NC,35.7325352,-78.8505516,78906
MN0191000,Apple Valley,"Apple Valley,MN",MN,44.7319094,-93.21772,55025
WI0450100,Appleton,"Appleton,WI",WI,44.2613967,-88.4069744,63196
CO0030000,Arapahoe,"Arapahoe,CO",CO,,,108141
CA0190200,Arcadia,"Arcadia,CA",CA,34.1362075,-118.0401497,53974
TX2200100,Arlington,"Arlington,TX",TX,32.7355816,-97.1071186,406035
VA0070100,Arlington,"Arlington,VA",VA,,,240716
IL0160200,Arlington Heights,"Arlington Heights,IL",IL,42.0811563,-87.9802164,75155
CO0300100,Arvada,"Arvada,CO",CO,39.8005505,-105.0811573,118508
NC0110100,Asheville,"Asheville,NC",NC,35.595363,-82.5508407,95155
GAAPD0000,Atlanta,"Atlanta,GA",GA,33.7544657,-84.3898151,483291
CO0010100,Aurora,"Aurora,CO",CO,39.7401441,-104.8733376,342167
TX2270100,Austin,"Austin,TX",TX,30.2711286,-97.7436995,926822
AZ0070100,Avondale,"Avondale,AZ",AZ,33.4355977,-112.349602,98457
CA0150200,Bakersfield,"Bakersfield,CA",CA,35.3738712,-119.019463,420589
CA0190600,Baldwin Park,"Baldwin Park,CA",CA,34.0854739,-117.9611761,68586
MD0030100,Baltimore,"Baltimore,MD",MD,39.2908816,-76.610759,849486
MDBPD0000,Baltimore,"Baltimore,MD",MD,39.2908816,-76.610759,562811
MA0010100,Barnstable,"Barnstable,MA",MA,41.7016936,-70.3036163,49944
TN0790600,Bartlett,"Bartlett,TN",TN,35.2045329,-89.8739753,56471
LA0170200,Baton Rouge,"Baton Rouge,LA",LA,30.4494155,-91.1869659,219587
MI1323700,Battle Creek,"Battle Creek,MI",MI,42.3192548,-85.1824269,61225
TX1010100,Baytown,"Baytown,TX",TX,29.7355047,-94.9774274,81064
SC0070000,Beaufort,"Beaufort,SC",SC,,,135071
CA0330200,Beaumont,"Beaumont,CA",CA,33.9299925,-116.9763092,61160
TX1230100,Beaumont,"Beaumont,TX",TX,30.0829344,-94.0984277,112404
OR0340100,Beaverton,"Beaverton,OR",OR,45.4871723,-122.80378,98494
NB0770100,Bellevue,"Bellevue,NE",NE,41.1365122,-95.8937398,64686
WA0370100,Bellingham,"Bellingham,WA",WA,48.7544012,-122.478836,96902
OR0090100,Bend,"Bend,OR",OR,44.0581728,-121.3153096,108819
PA0090100,Bensalem,"Bensalem,PA",PA,40.1045549,-74.951279,63183
AR0040100,Bentonville,"Bentonville,AR",AR,36.3728608,-94.208787,63670
CA0010300,Berkeley,"Berkeley,CA",CA,37.8708393,-122.272863,121235
SC0080000,Berkeley,"Berkeley,SC",SC,,,155402
PA0480300,Bethlehem,"Bethlehem,PA",PA,40.6178915,-75.3786521,59881
TX0150000,Bexar,"Bexar,TX",TX,,,426744
MT0560100,Billings,"Billings,MT",MT,45.7874957,-108.49607,122571
AL0010200,Birmingham,"Birmingham,AL",AL,33.5206824,-86.8024326,193432
ND0080100,Bismarck,"Bismarck,ND",ND,46.808327,-100.783739,78814
MN0020200,Blaine,"Blaine,MN",MN,45.1607987,-93.2349489,76398
NJ0070200,Bloomfield,"Bloomfield,NJ",NJ,40.7934789,-74.1979277,56009
IN0530100,Bloomington,"Bloomington,IN",IN,39.1670396,-86.5342881,79948
MN0270100,Bloomington,"Bloomington,MN",MN,44.8322405,-93.3204872,87974
MO0480100,Blue Springs,"Blue Springs,MO",MO,39.017316,-94.282265,61854
ID0010100,Boise,"Boise,ID",ID,43.6166163,-116.200886,238450
IL0990200,Bolingbrook,"Bolingbrook,IL",IL,41.7003302,-88.0717708,73492
KY0080000,Boone,"Boone,KY",KY,,,111845
LA0080100,Bossier City,"Bossier City,LA",LA,32.515887,-93.7336536,63346
MA0130100,Boston,"Boston,MA",MA,42.3588336,-71.0578303,671262
CO0070100,Boulder,"Boulder,CO",CO,40.0149856,-105.270545,106426
MD0174100,Bowie,"Bowie,MD",MD,39.0080601,-76.7797899,58471
KY1140100,Bowling Green,"Bowling Green,KY",KY,36.9929203,-86.4428677,80821
MT0160100,Bozeman,"Bozeman,MT",MT,45.6794293,-111.044047,58949
TX0200000,Brazoria,"Brazoria,TX",TX,,,143180
CA0070200,Brentwood,"Brentwood,CA",CA,37.9317766,-121.696026,66753
CT0001500,Bridgeport,"Bridgeport,CT",CT,41.1792695,-73.1887863,152588
CT0001700,Bristol,"Bristol,CT",CT,41.6711752,-72.9430128,62563
MA0120300,Brockton,"Brockton,MA",MA,42.0834335,-71.0183787,105571
OK0720100,Broken Arrow,"Broken Arrow,OK",OK,36.0525993,-95.7908195,101688
GA0447200,Brookhaven,"Brookhaven,GA",GA,33.8584368,-84.340203,60038
MA0110400,Brookline,"Brookline,MA",MA,42.332918,-71.1187829,63981
MN0270300,Brooklyn Park,"Brooklyn Park,MN",MN,45.1004807,-93.3443585,82087
CO0640100,Broomfield,"Broomfield,CO",CO,39.9403995,-105.05208,79451
TX0310100,Brownsville,"Brownsville,TX",TX,25.9024289,-97.4981698,193321
AZ0070300,Buckeye,"Buckeye,AZ",AZ,33.3703197,-112.583776,120174
CA0300300,Buena Park,"Buena Park,CA",CA,33.870413,-117.9962165,82300
NY0140100,Buffalo,"Buffalo,NY",NY,42.8864163,-78.8781493,276384
NC0110000,Buncombe,"Buncombe,NC",NC,,,162165
CA0191200,Burbank,"Burbank,CA",CA,34.1812089,-118.307201,102684
TX1260200,Burleson,"Burleson,TX",TX,30.4764878,-96.6353488,47697
NC0010100,Burlington,"Burlington,NC",NC,36.0956918,-79.4377991,59483
VT0040100,Burlington,"Burlington,VT",VT,44.4761601,-73.212906,44354
MN0190100,Burnsville,"Burnsville,MN",MN,44.7670567,-93.2773887,64952
ID0140100,Caldwell,"Caldwell,ID",ID,43.6678736,-116.689415,76553
CA0560100,Camarillo,"Camarillo,CA",CA,34.2176371,-119.0383541,69673
MA0091100,Cambridge,"Cambridge,MA",MA,42.3656347,-71.1040018,121634
TX0310000,Cameron,"Cameron,TX",TX,,,95770
OH0760400,Canton,"Canton,OH",OH,40.7985464,-81.3749508,68866
MI8290800,Canton Township,"Canton Township,MI",MI,42.3076547,-83.4868961,100042
CA0370100,Carlsbad,"Carlsbad,CA",CA,33.1580933,-117.3505966,113239
IN0290100,Carmel,"Carmel,IN",IN,39.9784186,-86.1283681,104553
TX0570400,Carrollton,"Carrollton,TX",TX,32.9515472,-96.9034244,83979
NC0920300,Cary,"Cary,NC",NC,35.7882893,-78.7812081,180581
AZ0110100,Casa Grande,"Casa Grande,AZ",AZ,32.8772834,-111.7536818,73225
CO0180100,Castle Rock,"Castle Rock,CO",CO,39.3722552,-104.858682,85729
TX2460900,Cedar Park,"Cedar Park,TX",TX,30.5217116,-97.827833,71892
IA0570100,Cedar Rapids,"Cedar Rapids,IA",IA,41.9758872,-91.6704053,137918
CO0031100,Centennial,"Centennial,CO",CO,39.579155,-104.8769227,109020
IL0100100,Champaign,"Champaign,IL",IL,40.1164841,-88.2430932,92875
AZ0070500,Chandler,"Chandler,AZ",AZ,33.3062031,-111.841185,282191
NC0680100,Chapel Hill,"Chapel Hill,NC",NC,35.9131542,-79.05578,62990
SC0100100,Charleston,"Charleston,SC",SC,32.7884363,-79.9399309,142716
NC0600100,Charlotte,"Charlotte,NC",NC,35.2272086,-80.8430827,1035037
